name,blur_radius,ldhn_q66_coverage,ldhn_q80_coverage
1102_0.65_0.94.png,9,0.079345703125,0.02978515625
1102_0.65_0.94.png,15,0.083251953125,0.031982421875
110_0.55_1.08.png,5,0.02587890625,0.018310546875
110_0.55_1.08.png,9,0.02587890625,0.018798828125
110_0.55_1.08.png,15,0.026611328125,0.019287109375
1113_0.9_0.52.png,5,0.151123046875,0.064697265625
1113_0.9_0.52.png,9,0.15576171875,0.066162109375
1113_0.9_0.52.png,15,0.161376953125,0.065185546875
1122_0.94_0.53.png,5,0.051025390625,0.02197265625
1122_0.94_0.53.png,9,0.052001953125,0.02099609375
1122_0.94_0.53.png,15,0.051025390625,0.020263671875
1124_0.74_1.17.png,5,0.058837890625,0.027099609375
1124_0.74_1.17.png,9,0.062255859375,0.02734375
1124_0.74_1.17.png,15,0.068115234375,0.02734375
1134_0.69_1.2.png,5,0.1318359375,0.129638671875
1134_0.69_1.2.png,9,0.132080078125,0.1298828125
1134_0.69_1.2.png,15,0.132080078125,0.130859375
1140_0.67_1.42.png,5,0.303466796875,0.05126953125
1140_0.67_1.42.png,9,0.308837890625,0.05126953125
1140_0.67_1.42.png,15,0.314208984375,0.05029296875
1143_0.73_1.33.png,5,0.003173828125,0.001708984375
1143_0.73_1.33.png,9,0.003173828125,0.001708984375
1143_0.73_1.33.png,15,0.003662109375,0.00146484375
1145_0.9_1.2.png,5,0.1162109375,0.084228515625
1145_0.9_1.2.png,9,0.117919921875,0.086669921875
1145_0.9_1.2.png,15,0.119873046875,0.08837890625
1146_0.89_0.87.png,5,0.144287109375,0.101318359375
1146_0.89_0.87.png,9,0.144287109375,0.101806640625
1146_0.89_0.87.png,15,0.144775390625,0.104248046875
114_0.75_1.45.png,5,0.056396484375,0.038818359375
114_0.75_1.45.png,9,0.0576171875,0.04052734375
114_0.75_1.45.png,15,0.0576171875,0.042236328125
1150_0.8_1.27.png,5,0.039306640625,0.026123046875
1150_0.8_1.27.png,9,0.039794921875,0.02783203125
1150_0.8_1.27.png,15,0.04052734375,0.031005859375
1155_0.63_1.27.png,5,0.12255859375,0.06591796875
1155_0.63_1.27.png,9,0.1240234375,0.066650390625
1155_0.63_1.27.png,15,0.12548828125,0.06884765625
1162_0.65_1.7.png,5,0.0029296875,0.00048828125
1162_0.65_1.7.png,9,0.0029296875,0.001220703125
1162_0.65_1.7.png,15,0.00341796875,0.00146484375
1164_0.79_1.96.png,5,0.00244140625,0.0009765625
1164_0.79_1.96.png,9,0.00244140625,0.001953125
1164_0.79_1.96.png,15,0.00244140625,0.00244140625
1168_0.56_0.69.png,5,0.2919921875,0.107421875
1168_0.56_0.69.png,9,0.2919921875,0.10595703125
1168_0.56_0.69.png,15,0.295166015625,0.104248046875
116_0.64_1.08.png,5,0.116455078125,0.046142578125
116_0.64_1.08.png,9,0.12158203125,0.047119140625
116_0.64_1.08.png,15,0.129638671875,0.04931640625
1170_0.71_1.78.png,5,0.0283203125,0.013427734375
1170_0.71_1.78.png,9,0.029052734375,0.0146484375
1170_0.71_1.78.png,15,0.029541015625,0.013427734375
1179_0.56_1.96.png,5,0.174072265625,0.1328125
1179_0.56_1.96.png,9,0.176025390625,0.132568359375
1179_0.56_1.96.png,15,0.17626953125,0.1357421875
1187_0.82_1.57.png,5,0.19140625,0.110595703125
1187_0.82_1.57.png,9,0.191650390625,0.111572265625
1187_0.82_1.57.png,15,0.192626953125,0.11376953125
119_0.6_1.7.png,5,0.100830078125,0.0791015625
