prototype_source_bucket,target_bucket,stage_set,action,count,mean_dpsnr,p05_dpsnr,unsafe_rate,severe_rate
mid_50,mid_50,S5_bottleneck_mid,strong_1.25,40,0.6607529640197753,-1.6718698501586915,0.375,0.35
mid_50,mid_50,S5_bottleneck_mid,wrong_stage,40,0.23051605224609376,-0.25615177154541013,0.25,0.1
mid_50,mid_50,S6_early_mid_final,medium_0.67,40,0.4998779296875,-1.1995660781860351,0.35,0.275
mid_50,mid_50,S6_early_mid_final,mild_0.33,40,0.31220054626464844,-0.5317773818969727,0.25,0.15
mid_50,mid_50,S6_early_mid_final,overstrong_1.5,40,0.270387077331543,-3.0203466415405273,0.4,0.4
mid_50,mid_50,S6_early_mid_final,overstrong_2.0,40,-0.328950834274292,-4.067313861846924,0.475,0.475
mid_50,mid_50,S6_early_mid_final,overstrong_3.0,40,-2.135638952255249,-6.036023330688477,0.725,0.725
mid_50,mid_50,S6_early_mid_final,sign_flip,40,-0.9239718437194824,-1.827336311340332,0.875,0.85
mid_50,mid_50,S6_early_mid_final,strong_1.25,40,0.44648065567016604,-2.464690017700195,0.375,0.375
mid_50,mid_50,S6_early_mid_final,wrong_stage,40,0.1526792526245117,-0.19993438720703124,0.175,0.05
