alpha_tolerance_agreement_fraction,alpha_tolerance_stable_region_count,baseline_psnr_db,best_global_minus_keep_psnr_db,bidirectional_scene,cross_observation_transfer_psnr_db,cross_observation_transfer_raw_psnr_db,dataset,direction_and_strength_stable_scene,edge_local_minus_global_psnr_db,global_endpoint_selection_fraction,hazy_psnr_db,interior_local_minus_global_psnr_db,joint_useful_bidirectional_scene,keep_supported_scene,local_endpoint_selection_fraction,local_minus_keep_psnr_db,material_utility_scene,maximum_full_image_padded_pixels,near_clear_cell_mitigation_fraction,near_clear_damaged_cell_count,near_clear_damaged_scene,near_clear_exposed_cell_count,near_clear_exposed_scene,near_clear_mitigated_cell_count,near_clear_mitigated_scene,negative_tail_scene,nested_variants,null_local_minus_global_psnr_db,primary_clipped_high,primary_clipped_low,primary_local_minus_global_psnr_db,primary_raw_local_minus_global_psnr_db,repeat_keep_supported_cells,repeat_strengthen_cells,repeat_weaken_cells,scene_id_sha256,selected_candidate_saturation_fraction,spatial_specificity_psnr_db,spatial_specificity_raw_psnr_db,stable_cell_count,unresolved_cell_fraction,whole_image_inference_before_scoring_crop
0.875,14,36.200000224782016,1.7242343571184369,True,0.25,2.6158482841743185,HAZE4K_TRAIN,True,3.85753648659211,0.0,11.583948117845786,5.1194265619051595,True,False,0.0,5.842297005405474,True,173056,0.0,0,False,0,False,0,False,False,2,0.8561197260515009,True,False,0.25,4.1180626482870375,0,11,3,c1d00008971a02fad9929d46db1caf0ed6db4fc56478314f63449835e17c8945,0.0006351974746043403,0.25,7.330679529924207,14,0.0,True
0.25,4,44.39174746711622,0.010845669465633208,False,-0.18352546957560226,-0.18352546957560226,HAZE4K_TRAIN,False,0.41642178763660165,0.0,20.450670132951426,0.06012217732184013,False,False,0.0,0.34936987714489254,True,307200,0.0,0,False,0,False,0,False,True,2,0.620981545838115,False,False,0.25,0.33852420767925895,0,1,3,2a1f9007e54caeb1cd5fc78776a12c1405e6b04f4a70ca8d91980625f5f5b8f3,0.0023383918956942197,0.25,0.8037109077016904,4,0.28125,True
0.9375,15,32.12804532420612,3.8873012658297443,True,0.25,4.883542938724448,HAZE4K_TRAIN,True,6.013707230841204,0.0,15.526930374987128,3.3989911414829117,True,False,0.0,9.208110753902535,True,173056,0.0,0,False,0,False,0,False,False,2,1.3127577632556378,True,False,0.25,5.320809488072789,1,12,2,18d463702fdd064312dd2e78a1cb0f202a3c8865426ba290dcad25d7224b9497,0.0012975177479208567,0.25,7.804254903068669,15,0.03125,True
1.0,16,35.89021579576179,2.330354021772111,False,0.25,3.15444542124669,HAZE4K_TRAIN,True,3.937924864628984,0.0,11.072834844768899,1.6879936422830517,False,False,0.0,5.699878936990014,True,173056,0.0,0,False,0,False,0,False,False,2,0.7999739668049668,True,False,0.25,3.3695249152179017,0,16,0,c41d4e38d4532703df6dad5d6600ee6f6a43b44bfffed1f28d5e1d53caa6b14c,0.0033487187631649424,0.25,7.0384355412064075,16,0.0,True
0.625,10,37.62843303534211,2.129939173847535,True,-0.25,-3.835447969992509,HAZE4K_TRAIN,True,3.82830496537387,0.0,15.591850068935042,2.1328644234289125,False,False,0.046875,5.693458080299236,True,173056,0.0,0,False,0,False,0,False,True,2,0.14664858048651558,False,True,0.25,3.5635189064517014,0,11,2,cb28baebecf4238cc1679a20717991914e69f8b610d40f61473886b72bf87978,9.448055912973894e-05,0.25,9.227853342289215,13,0.0625,True
0.6875,11,35.2408621145882,4.849992639751592,False,-0.25,-1.4277177353659873,HAZE4K_TRAIN,True,2.9688017386409484,0.0,14.035383925976264,2.3152503713932946,False,False,0.0,7.6877894666398925,True,173056,0.0,0,False,3,True,0,False,True,2,0.6162664064736099,False,True,0.25,2.8377968268883,0,12,0,8682540c327a3eae76fb10c10a4ae22ac2dd735164bc48b03cf1676c11aa7121,0.00045559091106153423,0.25,7.7999813631287696,12,0.03125,True
0.9375,15,34.964799277881696,1.3210992738209923,True,0.25,2.0798973219887777,HAZE4K_TRAIN,True,2.384584647219774,0.0,10.820375808275621,1.6282129515575847,True,False,0.0,3.538343876527427,True,173056,0.0,0,False,0,False,0,False,False,2,0.3754527865891245,True,False,0.25,2.217244602706435,0,13,2,fa9ab08e9c5517ec702b8e2bc0977defab157adb4c84d95c31d03bc0c788b0d9,0.009420055841887605,0.25,4.3976316818830075,15,0.0,True
0.875,14,37.207622322648355,3.1155721814699255,False,0.25,1.9652479243005339,HAZE4K_TRAIN,True,3.6058084957652263,0.0,19.059114225416643,2.5895264275786674,False,False,0.0,6.496788994059244,True,307200,0.0,0,False,0,False,0,False,False,2,0.03489551274571645,True,False,0.25,3.3812168125893196,0,13,1,af73a067c6251a2634e127015a8e33d3e8f2d1f38c390d82e0217f94e3e540d9,0.0006904870506016546,0.25,6.992589838953091,14,0.0,True
0.8125,13,35.204340004015364,0.1452569206380738,True,0.25,1.3776016019786417,HAZE4K_TRAIN,True,2.036446152371108,0.0,14.21219627803608,6.088473613816826,True,False,0.0,2.843669417110764,True,173056,0.0,0,False,0,False,0,False,False,2,0.18522733408674552,True,False,0.25,2.6984124964726903,0,7,6,d87a7c203c097110785ddf96810d3a96b744857d182c7450cd8a6cfee1e21cde,0.0005875844051383202,0.25,4.649041615667448,13,0.03125,True
0.75,12,33.6110160554548,4.867258606636584,False,-0.25,-3.8886755153665176,HAZE4K_TRAIN,True,3.233103164817175,0.0,11.288098694522924,2.2818110140314167,False,False,0.0,7.935258418485892,True,173056,0.0,0,False,0,False,0,False,True,2,0.021108362957030224,False,True,0.25,3.067999811849308,0,12,0,bf6e60f567fb2885fcdcc1f20632c38dc1517689ec1784132e2b841ffe05c140,3.543083900226757e-06,0.25,8.161391391487477,12,0.03125,True
0.5625,9,37.521569301733805,1.9777293918784464,False,-0.25,-4.010165465134654,HAZE4K_TRAIN,False,3.3355466803208818,0.0,15.715252438671902,1.28083427500057,False,False,0.0,5.029354880004792,True,173056,0.0,0,False,0,False,0,False,True,2,0.8375364071372778,False,True,0.25,3.051625488126346,0,12,0,f99b1868af4c3aef0a9b7b039c84da1a936ff3834be25847a97ab0c674609f74,0.007076830010241789,0.25,6.7928606137165435,12,0.03125,True
0.625,10,36.90201907740919,0.33364295505480723,False,-0.25,-1.8829404824614224,HAZE4K_TRAIN,False,1.8034566078783532,0.0,12.189865567923412,0.905613084212882,False,False,0.0,1.8795378580362825,True,173056,0.0,0,False,0,False,0,False,True,2,1.4625305198556302,False,True,0.25,1.5458949029814752,0,9,1,a81b6ab4513042f0213c2a37b48fe18a7b036e085a890983936b7be746d8edab,0.00017869123776329197,0.25,3.4304930838496044,10,0.0,True
0.3125,5,42.91875904181708,0.007735018251960512,True,-0.17464993994374423,-0.17464993994374423,HAZE4K_TRAIN,False,0.3678864766447722,0.0,15.817367471620198,0.3809794873482708,False,False,0.0,0.37571708518316016,True,307200,0.0,0,False,0,False,0,False,True,2,0.6301004533883012,False,False,0.25,0.3679820669311994,0,3,2,aef8e3fa196221c39fbae56165e26fbe36b754620b5ebb29ab960601b803807b,0.00812460754842733,0.25,1.4478842923030735,5,0.1875,True
0.5625,9,45.537133581908975,0.1607896823570309,True,0.25,0.3593150576235462,HAZE4K_TRAIN,False,1.7558684920887684,0.0,14.797120432260186,0.2658427873524874,True,False,0.0,1.5562417763184704,True,307200,0.0,0,False,0,False,0,False,False,2,0.7078073037047973,True,False,0.25,1.3954520939614392,0,7,2,feb7ef6e10a4cb78bd1cdc5507a8e771243dd8611decb69b4243fc13ec7a52a3,0.009821892218049117,0.25,3.401200559946605,9,0.125,True
0.3125,5,38.54493346962575,0.8070627323603541,False,-0.25,-0.5937749119396523,HAZE4K_TRAIN,False,2.065131822458166,0.0,20.047149105091034,0.5711512219138642,False,False,0.0,2.6184022053015927,True,173056,0.0,0,False,0,False,0,False,True,2,1.3775171135899977,False,True,0.25,1.811339472941238,0,0,7,e79b8fd824369b1872dd050c4c2fc81f961dff728497a505ced2252b5f9c4cb1,3.8634860483428194e-05,0.25,5.786325178637409,7,0.0625,True
0.6875,11,38.21449879649083,0.8786840607119536,True,0.25,0.37955253469538386,HAZE4K_TRAIN,True,1.6221147177909034,0.0,13.235401205307713,3.3179853130721453,True,False,0.0,2.7273711430355636,True,173056,0.0,0,False,0,False,0,False,False,2,0.23251892328625717,True,False,0.25,1.8486870823236103,0,9,5,7ddc228bfa00e693db31c263236c872db88b7f7a9f88b1d091b951db7614fa92,0.0,0.25,6.60502154142968,14,0.0625,True
0.6875,11,41.65384982806414,0.22179736861295504,True,0.25,0.25014206176838816,HAZE4K_TRAIN,False,2.0482283875817155,0.0,14.919023146211881,1.1087067090734237,True,False,0.0,2.172468465272627,True,173056,0.0,0,False,0,False,0,False,False,2,-0.5081956599167565,True,False,0.25,1.9506710966596712,1,8,2,0589a379de6292de93e5731c2456777fd1042254a54ed13201fc787643a9d90e,6.185594236952211e-06,0.25,5.179675051723473,11,0.0625,True
0.875,14,36.4387468651382,5.939855508994181,True,0.25,1.2556568088797047,HAZE4K_TRAIN,True,2.638221469132162,0.0,13.059126336794028,2.428987600849583,True,False,0.0,8.516893732573347,True,173056,0.0,0,False,4,True,0,False,False,2,0.39379573498606046,True,False,0.25,2.577038223579168,0,12,3,7cbc6650fc55ccda1c68470a723a5645eec886634d4f9f9865e867c71d819043,1.250500200080032e-06,0.25,16.54283868863179,15,0.0,True
0.625,10,43.67965706976552,0.09457942523213858,True,-0.25,-0.5318096682585219,HAZE4K_TRAIN,False,1.0708350175643924,0.0,16.483628735215376,0.7170967037852114,False,False,0.0,1.0394743451744652,True,173056,0.0,0,False,1,True,0,False,True,2,0.05430079778546175,False,True,0.25,0.944894919942327,1,6,3,6c8711cf95ead6b0559d3229bbf55ff35375897b23ed324238d6b2439924543a,0.01384930867881327,0.25,4.386656750031939,10,0.0,True
0.875,14,34.367997448187495,4.536682624595219,False,-0.25,-0.5253529303508347,HAZE4K_TRAIN,True,2.4594240455267258,0.0,15.38828572158517,4.773391615007741,False,False,0.0,7.36070366117337,True,173056,0.0,0,False,0,False,0,False,True,2,0.9884924577670704,False,True,0.25,2.8240210365781504,0,15,0,62670b88864137b6ca459e249879bd81cc064e8ff6f32b64ebbaa80443a90cdb,3.062160017310945e-05,0.25,9.715563263389253,15,0.0,True
0.75,12,42.46482262726012,0.3428737983297472,True,0.25,0.8302939456119757,HAZE4K_TRAIN,True,1.5628696208949515,0.0,13.969962283734334,0.29123271158344166,True,False,0.0,1.6795046041422284,True,173056,0.0,0,False,0,False,0,False,False,2,0.624837774757669,True,False,0.25,1.3366308058124816,0,2,10,574305ca99b776762ed49fc5d60de5ecadb52e0c9503f1f00c5fb856e40e84bf,0.000147498803986127,0.25,3.334348364403148,12,0.125,True
0.3125,5,43.999317534502126,0.049868303373991466,False,-0.25,-0.30784511317336544,HAZE4K_TRAIN,False,0.4016585045267835,0.0,16.98090123206064,0.186964015243278,False,False,0.0,0.4051573073692032,True,307200,0.0,0,False,0,False,0,False,True,2,0.946059902472197,False,True,0.25,0.35528900399521157,0,4,1,b83bd34a7a6e90b18cf46f555f26f3b5e9aca45fcda64723bd5fa41dfff8bcae,0.016737344004650007,0.25,0.5224889172495015,5,0.1875,True
