variant,fold,train_count,test_count,target_mse,mid_target_mse,final_target_mse,shuffled_target_mse,final_only_target_mse,scope,count,mean_dPSNR,median_dPSNR,p01_dPSNR,p05_dPSNR,CVaR5_dPSNR,hard_bottom25_dPSNR,easy_top25_dPSNR,positive_ratio,severe_count,severe_rate,strong_reference_count,strong_reference_regressions,strong_reference_regression_rate,strong_easy_mean_dPSNR,strong_easy_p05_dPSNR
P1_mid_only_context_predictor,,,,,,,,,replay_fold4,480,1.1644659598668416,1.0012474060058594,-1.0037357711791992,-0.5851543426513672,-0.8913153012593588,2.0072647094726563,0.3085794448852539,0.8354166666666667,51,0.10625,120,48,0.4,0.3085794448852539,-0.8425773620605469
P1_noop_control,,,,,,,,,replay_fold0,480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,120,0,0.0,0.0,0.0
P1_noop_control,,,,,,,,,replay_fold1,480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,120,0,0.0,0.0,0.0
P1_noop_control,,,,,,,,,replay_fold2,480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,120,0,0.0,0.0,0.0
P1_noop_control,,,,,,,,,replay_fold3,480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,120,0,0.0,0.0,0.0
P1_noop_control,,,,,,,,,replay_fold4,480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,120,0,0.0,0.0,0.0
P1_shuffled_target_control,,,,,,,,,replay_fold0,480,-1.0344422022501627,-0.39783287048339844,-9.765508766174316,-5.160142707824707,-8.480048338572184,0.20356369018554688,-2.773927434285482,0.3458333333333333,272,0.5666666666666667,120,110,0.9166666666666666,-2.773927434285482,-8.714652252197265
P1_shuffled_target_control,,,,,,,,,replay_fold1,480,-1.2566815495491028,-0.7184219360351562,-12.686390743255615,-5.46200008392334,-9.026188691457113,0.07776563962300619,-2.630856434504191,0.29375,305,0.6354166666666666,120,108,0.9,-2.630856434504191,-10.106780242919921
P1_shuffled_target_control,,,,,,,,,replay_fold2,480,-1.2142659068107604,-0.4515342712402344,-10.42636562347412,-6.073315811157227,-8.607089122136435,0.0648317019144694,-2.9579944610595703,0.33958333333333335,284,0.5916666666666667,120,110,0.9166666666666666,-2.9579944610595703,-9.967027854919433
P1_shuffled_target_control,,,,,,,,,replay_fold3,480,-1.0268723726272584,-0.3934040069580078,-9.981803550720215,-5.564663314819336,-8.401173035303751,0.1468974272410075,-2.711475642522176,0.3416666666666667,283,0.5895833333333333,120,107,0.8916666666666667,-2.711475642522176,-8.672699928283691
P1_shuffled_target_control,,,,,,,,,replay_fold4,480,-1.1050128181775412,-0.4348430633544922,-11.596025047302247,-5.518006896972656,-8.499758958816528,0.1663663864135742,-2.6796987215677897,0.3145833333333333,282,0.5875,120,107,0.8916666666666667,-2.6796987215677897,-8.449483299255371
P1_v219_final_only_spatial_replicate,,,,,,,,,replay_fold0,480,0.941201913356781,0.5028362274169922,-3.136664695739746,-0.8688331604003906,-2.0683295726776123,2.7036264260609943,-0.11900765101114909,0.7,93,0.19375,120,59,0.49166666666666664,-0.11900765101114909,-1.4382118225097655
P1_v219_final_only_spatial_replicate,,,,,,,,,replay_fold1,480,0.990667732556661,0.5093650817871094,-2.126534996032715,-1.150822639465332,-1.9930588404337566,2.6879785219828287,-0.14177513122558594,0.7083333333333334,88,0.18333333333333332,120,58,0.48333333333333334,-0.14177513122558594,-1.7001676559448242
P1_v219_final_only_spatial_replicate,,,,,,,,,replay_fold2,480,1.029013200600942,0.5015220642089844,-2.2564492416381836,-1.256675910949707,-1.9379968643188477,2.8513078848520914,-0.17459592819213868,0.6895833333333333,109,0.22708333333333333,120,64,0.5333333333333333,-0.17459592819213868,-1.680955696105957
P1_v219_final_only_spatial_replicate,,,,,,,,,replay_fold3,480,0.9317301273345947,0.5768089294433594,-3.2757784652709963,-1.2097328186035157,-2.392638365427653,2.409942690531413,0.029759756724039712,0.7166666666666667,89,0.18541666666666667,120,44,0.36666666666666664,0.029759756724039712,-0.9975223541259766
P1_v219_final_only_spatial_replicate,,,,,,,,,replay_fold4,480,1.0645409941673278,0.7058620452880859,-1.574429702758789,-0.8994905471801758,-1.3961461385091145,2.511795441309611,-0.020518112182617187,0.7395833333333334,87,0.18125,120,58,0.48333333333333334,-0.020518112182617187,-1.3258085250854492
