bin_index,target_lo,target_hi,count,target_mean,pred_mean,variant,calibration_method
1,0.2,0.33,329794,0.26498743891716003,0.3210502862930298,d6c_ordinal_quantile,identity
2,0.33,0.66,808789,0.49360188841819763,0.34660330414772034,d6c_ordinal_quantile,identity
3,0.66,0.8,330583,0.7297492623329163,0.36291491985321045,d6c_ordinal_quantile,identity
4,0.8,1.000001,499894,0.9029604196548462,0.3691771924495697,d6c_ordinal_quantile,identity
0,0.0,0.2,488540,0.10343905538320541,0.45854780077934265,d6c_ordinal_quantile,affine_p01_p99
1,0.2,0.33,329794,0.26498743891716003,0.5599812269210815,d6c_ordinal_quantile,affine_p01_p99
2,0.33,0.66,808789,0.49360188841819763,0.6220191717147827,d6c_ordinal_quantile,affine_p01_p99
3,0.66,0.8,330583,0.7297492623329163,0.6615744829177856,d6c_ordinal_quantile,affine_p01_p99
4,0.8,1.000001,499894,0.9029604196548462,0.6767221093177795,d6c_ordinal_quantile,affine_p01_p99
0,0.0,0.2,488540,0.10343905538320541,0.3728087246417999,d6c_ordinal_quantile,affine_p10_p90
1,0.2,0.33,329794,0.26498743891716003,0.493896484375,d6c_ordinal_quantile,affine_p10_p90
2,0.33,0.66,808789,0.49360188841819763,0.5762356519699097,d6c_ordinal_quantile,affine_p10_p90
3,0.66,0.8,330583,0.7297492623329163,0.6304847002029419,d6c_ordinal_quantile,affine_p10_p90
4,0.8,1.000001,499894,0.9029604196548462,0.6523232460021973,d6c_ordinal_quantile,affine_p10_p90
0,0.0,0.2,488540,0.10343905538320541,0.34808674454689026,d6c_ordinal_quantile,mean_std
1,0.2,0.33,329794,0.26498743891716003,0.4607832431793213,d6c_ordinal_quantile,mean_std
2,0.33,0.66,808789,0.49360188841819763,0.537757933139801,d6c_ordinal_quantile,mean_std
3,0.66,0.8,330583,0.7297492623329163,0.5886632204055786,d6c_ordinal_quantile,mean_std
4,0.8,1.000001,499894,0.9029604196548462,0.6086378693580627,d6c_ordinal_quantile,mean_std
0,0.0,0.2,488540,0.10343905538320541,0.36457765102386475,d6c_ordinal_quantile,logit_mean_std
1,0.2,0.33,329794,0.26498743891716003,0.483432412147522,d6c_ordinal_quantile,logit_mean_std
2,0.33,0.66,808789,0.49360188841819763,0.5645198225975037,d6c_ordinal_quantile,logit_mean_std
3,0.66,0.8,330583,0.7297492623329163,0.6180534362792969,d6c_ordinal_quantile,logit_mean_std
4,0.8,1.000001,499894,0.9029604196548462,0.6420782804489136,d6c_ordinal_quantile,logit_mean_std
0,0.0,0.2,488540,0.10343905538320541,0.3362749218940735,d6c_ordinal_quantile,quantile_map_1001
1,0.2,0.33,329794,0.26498743891716003,0.44683030247688293,d6c_ordinal_quantile,quantile_map_1001
2,0.33,0.66,808789,0.49360188841819763,0.5275814533233643,d6c_ordinal_quantile,quantile_map_1001
3,0.66,0.8,330583,0.7297492623329163,0.5814905762672424,d6c_ordinal_quantile,quantile_map_1001
4,0.8,1.000001,499894,0.9029604196548462,0.605623722076416,d6c_ordinal_quantile,quantile_map_1001
0,0.0,0.2,488540,0.10343905538320541,0.2816864550113678,d6s_shuffled_quantile,identity
1,0.2,0.33,329794,0.26498743891716003,0.2764971852302551,d6s_shuffled_quantile,identity
2,0.33,0.66,808789,0.49360188841819763,0.2727418839931488,d6s_shuffled_quantile,identity
3,0.66,0.8,330583,0.7297492623329163,0.26938891410827637,d6s_shuffled_quantile,identity
4,0.8,1.000001,499894,0.9029604196548462,0.26758429408073425,d6s_shuffled_quantile,identity
0,0.0,0.2,488540,0.10343905538320541,0.5890116691589355,d6s_shuffled_quantile,affine_p01_p99
1,0.2,0.33,329794,0.26498743891716003,0.5300696492195129,d6s_shuffled_quantile,affine_p01_p99
2,0.33,0.66,808789,0.49360188841819763,0.4871535897254944,d6s_shuffled_quantile,affine_p01_p99
3,0.66,0.8,330583,0.7297492623329163,0.4489583969116211,d6s_shuffled_quantile,affine_p01_p99
4,0.8,1.000001,499894,0.9029604196548462,0.4285661578178406,d6s_shuffled_quantile,affine_p01_p99
0,0.0,0.2,488540,0.10343905538320541,0.6199225187301636,d6s_shuffled_quantile,affine_p10_p90
1,0.2,0.33,329794,0.26498743891716003,0.5448330044746399,d6s_shuffled_quantile,affine_p10_p90
2,0.33,0.66,808789,0.49360188841819763,0.4894603192806244,d6s_shuffled_quantile,affine_p10_p90
3,0.66,0.8,330583,0.7297492623329163,0.44046851992607117,d6s_shuffled_quantile,affine_p10_p90
4,0.8,1.000001,499894,0.9029604196548462,0.41470643877983093,d6s_shuffled_quantile,affine_p10_p90
0,0.0,0.2,488540,0.10343905538320541,0.6033729314804077,d6s_shuffled_quantile,mean_std
1,0.2,0.33,329794,0.26498743891716003,0.5306911468505859,d6s_shuffled_quantile,mean_std
2,0.33,0.66,808789,0.49360188841819763,0.47744569182395935,d6s_shuffled_quantile,mean_std
3,0.66,0.8,330583,0.7297492623329163,0.4304064214229584,d6s_shuffled_quantile,mean_std
4,0.8,1.000001,499894,0.9029604196548462,0.4058873653411865,d6s_shuffled_quantile,mean_std
0,0.0,0.2,488540,0.10343905538320541,0.6249210834503174,d6s_shuffled_quantile,logit_mean_std
1,0.2,0.33,329794,0.26498743891716003,0.5451985001564026,d6s_shuffled_quantile,logit_mean_std
2,0.33,0.66,808789,0.49360188841819763,0.48455920815467834,d6s_shuffled_quantile,logit_mean_std
3,0.66,0.8,330583,0.7297492623329163,0.43227338790893555,d6s_shuffled_quantile,logit_mean_std
4,0.8,1.000001,499894,0.9029604196548462,0.4048493504524231,d6s_shuffled_quantile,logit_mean_std
0,0.0,0.2,488540,0.10343905538320541,0.6090631484985352,d6s_shuffled_quantile,quantile_map_1001
1,0.2,0.33,329794,0.26498743891716003,0.5318028330802917,d6s_shuffled_quantile,quantile_map_1001
2,0.33,0.66,808789,0.49360188841819763,0.47492656111717224,d6s_shuffled_quantile,quantile_map_1001
3,0.66,0.8,330583,0.7297492623329163,0.4265289902687073,d6s_shuffled_quantile,quantile_map_1001
4,0.8,1.000001,499894,0.9029604196548462,0.4024410545825958,d6s_shuffled_quantile,quantile_map_1001
