candidate,selector_type,feature_group,deployable,outer_fold,target,roc_auc,pr_auc,brier_score,ece,positive_count,eval_count,top_features
l3_fdf_lite_s004_g015_bm2,logistic,diagnostic_with_trans_gt,False,0,strong_regression,0.579850939097111,0.35791907991231114,0.24064333679868335,0.1644573260851206,351,1200,dta_stage3_gate_max;dta_stage3_feature_action_abs_mean;dta_final_feature_gate_max;dta_stage3_feature_gate_mean;dta_stage2_feature_delta_abs_mean;dta_stage2_feature_gate_mean;input_texture_mean;input_brightness_mean
l3_fdf_lite_s004_g015_bm2,logistic,diagnostic_with_trans_gt,False,0,ssim_regression,0.5644504748982361,0.3849779258739536,0.22673200177246858,0.08385886452055683,396,1200,dta_stage3_gate_max;dta_stage3_feature_action_abs_mean;dta_final_feature_gate_max;dta_stage3_feature_gate_mean;dta_stage2_feature_delta_abs_mean;dta_stage2_feature_gate_mean;input_texture_mean;input_brightness_mean
l3_fdf_lite_s004_g015_bm2,logistic,diagnostic_with_trans_gt,False,0,good_action,0.5684429554066518,0.5541104146575807,0.25074238390508624,0.052267272409722336,594,1200,dta_stage3_gate_max;dta_stage3_feature_action_abs_mean;dta_final_feature_gate_max;dta_stage3_feature_gate_mean;dta_stage2_feature_delta_abs_mean;dta_stage2_feature_gate_mean;input_texture_mean;input_brightness_mean
l3_fdf_lite_s004_g015_bm2,gbdt,diagnostic_with_trans_gt,False,0,severe_regression,0.560952380952381,0.629518136572024,0.1078675896552916,0.011992546271570495,150,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,diagnostic_with_trans_gt,False,0,strong_regression,0.5803962429404126,0.5894492905619608,0.20479237282761636,0.0088132067494358,351,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,diagnostic_with_trans_gt,False,0,ssim_regression,0.5235077767727021,0.4157500625296175,0.22052911733607986,0.021395834687683787,396,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,diagnostic_with_trans_gt,False,0,good_action,0.5472408351946306,0.5936377574182461,0.248561785623247,0.011282563372056771,594,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,logistic,diagnostic_with_cf_delta,False,0,severe_regression,0.6137650793650794,0.18493106373691534,0.20096137285676524,0.2605083024627298,150,1200,dta_stage3_gate_max;dta_stage3_feature_action_abs_mean;dta_final_feature_gate_max;dta_stage3_feature_gate_mean;dta_stage2_feature_delta_abs_mean;depth_std;dta_stage2_feature_gate_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,diagnostic_with_cf_delta,False,0,strong_regression,0.5699784227463851,0.3467932104768246,0.24319002059590877,0.16876675508879285,351,1200,dta_stage3_gate_max;dta_stage3_feature_action_abs_mean;dta_final_feature_gate_max;dta_stage3_feature_gate_mean;dta_stage2_feature_delta_abs_mean;depth_std;dta_stage2_feature_gate_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,diagnostic_with_cf_delta,False,0,ssim_regression,0.5558602191064878,0.3763427239129916,0.22788456707097923,0.08768458289834234,396,1200,dta_stage3_gate_max;dta_stage3_feature_action_abs_mean;dta_final_feature_gate_max;dta_stage3_feature_gate_mean;dta_stage2_feature_delta_abs_mean;depth_std;dta_stage2_feature_gate_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,diagnostic_with_cf_delta,False,0,good_action,0.5586892022535587,0.5488653156120126,0.2525541342057664,0.05931618268639057,594,1200,dta_stage3_gate_max;dta_stage3_feature_action_abs_mean;dta_final_feature_gate_max;dta_stage3_feature_gate_mean;dta_stage2_feature_delta_abs_mean;depth_std;dta_stage2_feature_gate_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,gbdt,diagnostic_with_cf_delta,False,0,severe_regression,0.560952380952381,0.629518136572024,0.1078675896552916,0.011992546271570495,150,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,diagnostic_with_cf_delta,False,0,strong_regression,0.5803962429404126,0.5894492905619608,0.20479237282761636,0.0088132067494358,351,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,diagnostic_with_cf_delta,False,0,ssim_regression,0.5235077767727021,0.4157500625296175,0.22052911733607986,0.021395834687683787,396,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,diagnostic_with_cf_delta,False,0,good_action,0.5472408351946306,0.5936377574182461,0.248561785623247,0.011282563372056771,594,1200,input_brightness_mean;depth_mean;depth_std;dta_stage2_conf_mean;dta_stage3_feature_action_abs_mean;dta_stage3_conf_min;dta_final_feature_action_abs_mean;dta_stage3_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,logistic,input_only,True,1,severe_regression,0.5945225046641791,0.19470978353349788,0.2334623861546818,0.3694559775298855,128,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,input_only,True,1,strong_regression,0.5464936178451412,0.35554158960203913,0.2456015669152605,0.21460708573765547,334,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,input_only,True,1,ssim_regression,0.4926577662477514,0.35283372225098314,0.24889930249107586,0.14738535719630053,418,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,input_only,True,1,good_action,0.5098527368713531,0.49241937837441,0.25016166808625584,0.011328466093901134,590,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,gbdt,input_only,True,1,severe_regression,0.5916729827425373,0.48692049719194797,0.09393283294719353,0.027368982344748397,128,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,gbdt,input_only,True,1,strong_regression,0.5550158343820443,0.4893727310013706,0.198850249601129,0.03820432955675999,334,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,gbdt,input_only,True,1,ssim_regression,0.5026370856226826,0.6011808969459407,0.2272594357755752,0.015062107811799508,418,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,gbdt,input_only,True,1,good_action,0.514081689358155,0.7074986071763363,0.24928142102350803,0.01728607481544212,590,1200,input_brightness_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,input_depth,True,1,severe_regression,0.6167065065298507,0.17953742937673273,0.23013690311324508,0.3632394772619856,128,1200,input_brightness_mean;airlight_fallback_mean;depth_std;depth_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,input_depth,True,1,strong_regression,0.5735019568253793,0.38017278611931654,0.24272149821725714,0.2117504835663438,334,1200,input_brightness_mean;airlight_fallback_mean;depth_std;depth_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,input_depth,True,1,ssim_regression,0.5458950794796804,0.4064345371951097,0.24664452877829385,0.14863425640798775,418,1200,input_brightness_mean;airlight_fallback_mean;depth_std;depth_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,logistic,input_depth,True,1,good_action,0.5455459849958322,0.5270981201568989,0.24764255345875416,0.011922293650297839,590,1200,input_brightness_mean;airlight_fallback_mean;depth_std;depth_mean;input_texture_mean
l3_fdf_lite_s004_g015_bm2,gbdt,input_depth,True,1,severe_regression,0.5916729827425373,0.48692049719194797,0.09393283294719353,0.027368982344748397,128,1200,input_brightness_mean;airlight_fallback_mean;depth_mean;depth_std
l3_fdf_lite_s004_g015_bm2,gbdt,input_depth,True,1,strong_regression,0.6296102944227019,0.6428104543615859,0.19862502845354238,0.05995993027192931,334,1200,input_brightness_mean;airlight_fallback_mean;depth_mean;depth_std
l3_fdf_lite_s004_g015_bm2,gbdt,input_depth,True,1,ssim_regression,0.5428419339443703,0.49078564540280384,0.22628953861898468,0.014494269562049855,418,1200,input_brightness_mean;airlight_fallback_mean;depth_mean;depth_std
l3_fdf_lite_s004_g015_bm2,gbdt,input_depth,True,1,good_action,0.583828841344818,0.6621631477478349,0.2476889285210769,0.05667317570968898,590,1200,input_brightness_mean;airlight_fallback_mean;depth_mean;depth_std
l3_fdf_lite_s004_g015_bm2,logistic,input_depth_action,True,1,severe_regression,0.6573868936567164,0.18283086381789446,0.2767297673173906,0.4125484357465795,128,1200,dta_final_feature_gate_max;input_brightness_mean;dta_t_uncertainty_std;dta_t_uncertainty_mean;dta_stage3_feature_gate_max;dta_stage2_conf_min;dta_final_feature_gate_mean;depth_std
l3_fdf_lite_s004_g015_bm2,logistic,input_depth_action,True,1,strong_regression,0.604081674987208,0.3699813233767772,0.26224696628764216,0.24438210923087103,334,1200,dta_final_feature_gate_max;input_brightness_mean;dta_t_uncertainty_std;dta_t_uncertainty_mean;dta_stage3_feature_gate_max;dta_stage2_conf_min;dta_final_feature_gate_mean;depth_std
l3_fdf_lite_s004_g015_bm2,logistic,input_depth_action,True,1,ssim_regression,0.5472748075722904,0.41054475680963637,0.24857024120987492,0.13874189159897152,418,1200,dta_final_feature_gate_max;input_brightness_mean;dta_t_uncertainty_std;dta_t_uncertainty_mean;dta_stage3_feature_gate_max;dta_stage2_conf_min;dta_final_feature_gate_mean;depth_std
l3_fdf_lite_s004_g015_bm2,logistic,input_depth_action,True,1,good_action,0.5862100583495415,0.5586477874722058,0.2475586715488452,0.05107481384594183,590,1200,dta_final_feature_gate_max;input_brightness_mean;dta_t_uncertainty_std;dta_t_uncertainty_mean;dta_stage3_feature_gate_max;dta_stage2_conf_min;dta_final_feature_gate_mean;depth_std
l3_fdf_lite_s004_g015_bm2,gbdt,input_depth_action,True,1,severe_regression,0.60546875,0.3956325613337754,0.09415357475267458,0.026977229381247705,128,1200,dta_stage2_conf_min;dta_t_uncertainty_mean;dta_stage3_conf_min;dta_stage2_feature_action_abs_mean;input_brightness_mean;depth_mean;dta_t_uncertainty_std;dta_final_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,input_depth_action,True,1,strong_regression,0.6071880488445741,0.5144548191289967,0.1991118104978051,0.05691232248749105,334,1200,dta_stage2_conf_min;dta_t_uncertainty_mean;dta_stage3_conf_min;dta_stage2_feature_action_abs_mean;input_brightness_mean;depth_mean;dta_t_uncertainty_std;dta_final_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,input_depth_action,True,1,ssim_regression,0.5579546984177486,0.455691453014554,0.2259347250315287,0.023229069357078042,418,1200,dta_stage2_conf_min;dta_t_uncertainty_mean;dta_stage3_conf_min;dta_stage2_feature_action_abs_mean;input_brightness_mean;depth_mean;dta_t_uncertainty_std;dta_final_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,input_depth_action,True,1,good_action,0.5457238121700473,0.6006975808087961,0.24839965786457313,0.016500124314375763,590,1200,dta_stage2_conf_min;dta_t_uncertainty_mean;dta_stage3_conf_min;dta_stage2_feature_action_abs_mean;input_brightness_mean;depth_mean;dta_t_uncertainty_std;dta_final_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,logistic,deployable_all,True,1,severe_regression,0.6573868936567164,0.18283086381789446,0.2767297673173906,0.4125484357465795,128,1200,dta_final_feature_gate_max;input_brightness_mean;dta_t_uncertainty_std;dta_t_uncertainty_mean;dta_stage3_feature_gate_max;dta_stage2_conf_min;dta_final_feature_gate_mean;depth_std
l3_fdf_lite_s004_g015_bm2,logistic,deployable_all,True,1,strong_regression,0.604081674987208,0.3699813233767772,0.26224696628764216,0.24438210923087103,334,1200,dta_final_feature_gate_max;input_brightness_mean;dta_t_uncertainty_std;dta_t_uncertainty_mean;dta_stage3_feature_gate_max;dta_stage2_conf_min;dta_final_feature_gate_mean;depth_std
l3_fdf_lite_s004_g015_bm2,logistic,deployable_all,True,1,ssim_regression,0.5472748075722904,0.41054475680963637,0.24857024120987492,0.13874189159897152,418,1200,dta_final_feature_gate_max;input_brightness_mean;dta_t_uncertainty_std;dta_t_uncertainty_mean;dta_stage3_feature_gate_max;dta_stage2_conf_min;dta_final_feature_gate_mean;depth_std
l3_fdf_lite_s004_g015_bm2,logistic,deployable_all,True,1,good_action,0.5862100583495415,0.5586477874722058,0.2475586715488452,0.05107481384594183,590,1200,dta_final_feature_gate_max;input_brightness_mean;dta_t_uncertainty_std;dta_t_uncertainty_mean;dta_stage3_feature_gate_max;dta_stage2_conf_min;dta_final_feature_gate_mean;depth_std
l3_fdf_lite_s004_g015_bm2,gbdt,deployable_all,True,1,severe_regression,0.60546875,0.3956325613337754,0.09415357475267458,0.026977229381247705,128,1200,dta_stage2_conf_min;dta_t_uncertainty_mean;dta_stage3_conf_min;dta_stage2_feature_action_abs_mean;input_brightness_mean;depth_mean;dta_t_uncertainty_std;dta_final_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,deployable_all,True,1,strong_regression,0.6071880488445741,0.5144548191289967,0.1991118104978051,0.05691232248749105,334,1200,dta_stage2_conf_min;dta_t_uncertainty_mean;dta_stage3_conf_min;dta_stage2_feature_action_abs_mean;input_brightness_mean;depth_mean;dta_t_uncertainty_std;dta_final_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,deployable_all,True,1,ssim_regression,0.5579546984177486,0.455691453014554,0.2259347250315287,0.023229069357078042,418,1200,dta_stage2_conf_min;dta_t_uncertainty_mean;dta_stage3_conf_min;dta_stage2_feature_action_abs_mean;input_brightness_mean;depth_mean;dta_t_uncertainty_std;dta_final_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,gbdt,deployable_all,True,1,good_action,0.5457238121700473,0.6006975808087961,0.24839965786457313,0.016500124314375763,590,1200,dta_stage2_conf_min;dta_t_uncertainty_mean;dta_stage3_conf_min;dta_stage2_feature_action_abs_mean;input_brightness_mean;depth_mean;dta_t_uncertainty_std;dta_final_feature_gate_mean
l3_fdf_lite_s004_g015_bm2,logistic,diagnostic_with_trans_gt,False,1,severe_regression,0.6347583372201493,0.16865971019990716,0.27752098036891126,0.4100129124699907,128,1200,dta_final_feature_gate_max;trans_gt_p90;dta_t_uncertainty_mean;dta_t_uncertainty_std;input_brightness_mean;dta_stage3_feature_gate_max;dta_final_feature_gate_mean;depth_mean
l3_fdf_lite_s004_g015_bm2,logistic,diagnostic_with_trans_gt,False,1,strong_regression,0.6053504999239396,0.3659559502791833,0.26414528048302127,0.2476327169022787,334,1200,dta_final_feature_gate_max;trans_gt_p90;dta_t_uncertainty_mean;dta_t_uncertainty_std;input_brightness_mean;dta_stage3_feature_gate_max;dta_final_feature_gate_mean;depth_mean
l3_fdf_lite_s004_g015_bm2,logistic,diagnostic_with_trans_gt,False,1,ssim_regression,0.54814669783037,0.4080699510882209,0.2502300101354674,0.14329838598184363,418,1200,dta_final_feature_gate_max;trans_gt_p90;dta_t_uncertainty_mean;dta_t_uncertainty_std;input_brightness_mean;dta_stage3_feature_gate_max;dta_final_feature_gate_mean;depth_mean
l3_fdf_lite_s004_g015_bm2,logistic,diagnostic_with_trans_gt,False,1,good_action,0.5851430953042511,0.5582056838924011,0.24888283539388614,0.05762309319824434,590,1200,dta_final_feature_gate_max;trans_gt_p90;dta_t_uncertainty_mean;dta_t_uncertainty_std;input_brightness_mean;dta_stage3_feature_gate_max;dta_final_feature_gate_mean;depth_mean
