variant,name,need_pearson,need_mae,need_target_mean,need_pred_mean,need_target_max,need_pred_max,hard_negative_pixels,false_strong_pixels,low_context_false_strong_rate
d7a_hn_ordinal,1538_0.61_0.54.png,-0.043173301797187764,0.2333170473575592,0.3054172098636627,0.3916081190109253,0.9527499079704285,0.5485521554946899,2192,0,0.0
d7a_hn_ordinal,1549_0.91_1.37.png,0.3223861340271137,0.18184787034988403,0.37935870885849,0.2823696732521057,0.9468375444412231,0.45827069878578186,1101,0,0.0
d7a_hn_ordinal,154_0.97_0.91.png,-0.2901647629134966,0.25444766879081726,0.5218585729598999,0.37061870098114014,0.9784899950027466,0.4701383709907532,0,0,nan
d7a_hn_ordinal,1568_0.8_1.8.png,0.5524393141417602,0.22229526937007904,0.5509442090988159,0.3847694396972656,0.9905373454093933,0.58008873462677,333,0,0.0
d7a_hn_ordinal,161_0.83_1.56.png,-0.17650910653385338,0.5099289417266846,0.9066364765167236,0.40005865693092346,0.999571681022644,0.5157918334007263,0,0,nan
d7a_hn_ordinal,1635_0.64_0.55.png,0.5599674857051861,0.15542298555374146,0.26880931854248047,0.23313653469085693,0.8161875605583191,0.38362714648246765,2362,0,0.0
d7a_hn_ordinal,1686_0.51_0.6.png,0.09024226516802446,0.17540977895259857,0.24095210433006287,0.31758928298950195,0.8478500247001648,0.46802324056625366,2017,0,0.0
d7a_hn_ordinal,1761_0.99_0.94.png,0.4593260428063378,0.26245149970054626,0.5881279706954956,0.46200329065322876,0.9953252673149109,0.5771308541297913,223,0,0.0
d7a_hn_ordinal,1765_0.51_1.47.png,0.1730253298566231,0.22486823797225952,0.5468512773513794,0.42639634013175964,0.9643750190734863,0.5311088562011719,438,0,0.0
d7a_hn_ordinal,1796_0.93_0.58.png,0.228279855028048,0.16259674727916718,0.2255382239818573,0.28679853677749634,0.876212477684021,0.446906715631485,159,0,0.0
d7a_hn_ordinal,1841_0.64_1.79.png,0.431231340429002,0.1580466628074646,0.3878225088119507,0.3291112780570984,0.9586502909660339,0.5418651700019836,571,0,0.0
d7a_hn_ordinal,1860_0.77_1.07.png,0.1751972744110435,0.20260658860206604,0.2850644588470459,0.39555707573890686,0.938287615776062,0.5264216661453247,139,0,0.0
d7a_hn_ordinal,1919_0.59_0.94.png,0.09819078138418207,0.19883856177330017,0.1611129343509674,0.3293837904930115,0.8725875616073608,0.46623164415359497,1835,0,0.0
d7a_hn_ordinal,1956_0.99_1.4.png,0.4329279322630111,0.21533560752868652,0.4774533212184906,0.34750115871429443,0.9833126068115234,0.5516915917396545,615,0,0.0
d7a_hn_ordinal,2027_0.69_0.59.png,0.1650239265223879,0.20343752205371857,0.3772915005683899,0.3103826940059662,0.9439629316329956,0.4909879267215729,988,0,0.0
d7a_hn_ordinal,2033_0.61_0.56.png,0.20820491350118236,0.20581336319446564,0.19365514814853668,0.33096402883529663,0.8906002044677734,0.5074580907821655,3218,0,0.0
d7a_hn_ordinal,2063_0.76_1.8.png,0.6190600221307854,0.15667787194252014,0.40124058723449707,0.34179186820983887,0.9708503484725952,0.5139060020446777,354,0,0.0
d7a_hn_ordinal,2069_0.7_1.18.png,0.1821245976195582,0.1674765795469284,0.34220677614212036,0.42378586530685425,0.8675124049186707,0.5642222166061401,983,0,0.0
