canary_name,epoch,param_group,grad_l2_before_clip,grad_l2_after_clip,clip_coef,update_l2,weight_l2,weight_std,bias_mean,bias_delta,loss
canary32,6,mid_context,0.0015749182805026795,1.647677568342749e-05,0.019270550162436957,0.3015597688467715,2.496217966079712,0.014995027333498001,-0.0054632690735161304,0.015541625053669753,3.3754196893423796
canary32,6,mid_risk,0.6702411160047975,0.007058729064908332,0.019270550162436957,0.08681976429052388,3.1601719856262207,0.09575044363737106,-0.036643169820308685,0.013481516913914549,3.3754196893423796
canary32,6,final_context,0.00023867734250379355,2.5432582095955656e-06,0.019270550162436957,0.3598096247986831,4.2482805252075195,0.0207016970962286,-0.0025141043588519096,0.025086876924224556,3.3754196893423796
canary32,6,final_risk,0.6724991926653575,0.007083336537098042,0.019270550162436957,0.08728644992080926,3.1672191619873047,0.09597425907850266,-0.0670054629445076,0.015010555580071859,3.3754196893423796
canary32,6,other_trainable,0.0,0.0,0.019270550162436957,0.0,0.0,0.0,nan,0.0,3.3754196893423796
canary32,7,mid_context,0.0016789477606925537,1.7582312972943164e-05,0.019296583001303075,0.2733114176751072,2.241382598876953,0.013464203104376793,-0.005006968975067139,0.014338384700758712,3.375377830117941
canary32,7,mid_risk,0.6693930391330316,0.007059402769956108,0.019296583001303075,0.08440517737907434,3.0923945903778076,0.09369736909866333,-0.03674451634287834,0.012929931444019266,3.375377830117941
canary32,7,final_context,0.0002359113460786837,2.5041335711336925e-06,0.019296583001303075,0.32611193257939325,3.9808671474456787,0.019398588687181473,-0.002353221643716097,0.023628113431358542,3.375377830117941
canary32,7,final_risk,0.6715369714186281,0.00708266259745902,0.019296583001303075,0.08482111846886278,3.0991876125335693,0.09391243755817413,-0.06627815961837769,0.014504449179348884,3.375377830117941
canary32,7,other_trainable,0.0,0.0,0.019296583001303075,0.0,0.0,0.0,nan,0.0,3.375377830117941
canary32,8,mid_context,0.001729853481461135,1.8126626717429566e-05,0.01932315165587321,0.24754586540107337,2.0096657276153564,0.012072250247001648,-0.004577503073960543,0.01300378801235337,3.375696111470461
