prefix,epoch,loss,train_count,train_auc,train_ap,train_prob_mean,train_prob_std,train_target_mae,train_hidden_std_mean
canary32,33,3.3737448202446103,32,0.5,0.5,0.18284600973129272,0.0,0.49831118740871716,0.01733877754304558
canary32,34,3.3739938735961914,32,0.5,0.5,0.18277111649513245,0.0,0.49831118740871716,0.016715148405637592
canary32,35,3.3741621961817145,32,0.5,0.5,0.18278716504573822,0.0,0.49831118740871716,0.01612351310905069
canary32,36,3.3739551473408937,32,0.5,0.5,0.18282008171081543,0.0,0.49831118740871716,0.015548659284831956
canary32,37,3.3740209816023707,32,0.5,0.5,0.18280361592769623,0.0,0.49831118740871716,0.014988521521445364
canary32,38,3.373905347660184,32,0.5,0.5,0.1828303188085556,0.0,0.49831118740871716,0.01444418850587681
canary32,39,3.3738381881266832,32,0.5,0.5,0.18281933665275574,0.0,0.49831118740871716,0.013912409165641293
canary32,40,3.3736679702997208,32,0.5,0.5,0.1828688234090805,0.0,0.49831118740871716,0.013399288116488606
canary64,1,3.2908301819115877,64,0.900390625,0.9213868702706699,0.18252929695881903,1.7889845946035895e-06,0.49658185404712185,0.05444212589645758
canary64,2,3.2905640872195363,64,0.90625,0.9285178806485612,0.18254311266355217,2.105389437734698e-06,0.4965816389116071,0.05188910075230524
canary64,3,3.2909108186140656,64,0.91015625,0.9328042619610115,0.182479043956846,1.8942693080075376e-06,0.4965817834994368,0.049403457320295274
canary64,4,3.2910122224129736,64,0.90869140625,0.9336717903019499,0.18253836850635707,1.7304643688662887e-06,0.49658190946081504,0.04699451196938753
canary64,5,3.29067306779325,64,0.90869140625,0.9326933477885809,0.1825081727001816,1.4218776399368108e-06,0.4965821315812491,0.044630821445025504
canary64,6,3.2904842467978597,64,0.90966796875,0.933565475734587,0.18256981670856476,9.903493508028241e-07,0.4965824181957714,0.042351221840362996
canary64,7,3.2904507406055927,64,0.9033203125,0.9282051523744577,0.18260597134940326,7.319966971546133e-07,0.4965825967768751,0.04015345178777352
canary64,8,3.29011198785156,64,0.8984375,0.9236357375599407,0.18265416705980897,4.6186252746564915e-07,0.4965827739609949,0.0380195599864237
canary64,9,3.289653909858316,64,0.896484375,0.9185832630486105,0.18265802739188075,2.6575800036966944e-07,0.49658290108652636,0.03591278463136405
canary64,10,3.289731580298394,64,0.8935546875,0.9152031426535691,0.18273357604630291,1.5377102396115543e-07,0.4965829720998727,0.03392754576634616
canary64,11,3.2898108954541385,64,0.88427734375,0.8942803085803219,0.18268237658776343,7.541952046797517e-08,0.4965830223912917,0.03202722262358293
canary64,12,3.2898885048925877,64,0.87939453125,0.8943900640147566,0.18270874954760075,3.821828314789234e-08,0.496583046372848,0.030198773136362433
canary64,13,3.2899151975288987,64,0.818359375,0.8173268260285419,0.18266857182607055,1.8480359421097142e-08,0.49658305941136405,0.028437607339583337
canary64,14,3.2900617886334658,64,0.75,0.7286527514231499,0.18272391310893,7.329544163633694e-09,0.4965830656977914,0.026754699822049588
canary64,15,3.2898139129392803,64,0.609375,0.5621936274509803,0.18272934551350772,5.995106505967552e-09,0.49658306802609786,0.02513336349511519
canary64,16,3.2894791401922703,64,0.625,0.625,0.18280107155442238,9.85619169125181e-09,0.49658306593062207,0.023588727868627757
canary64,17,3.2892428091727197,64,0.703125,0.6309027777777778,0.1828300312627107,6.808057202591303e-09,0.496583066629114,0.022105165786342695
canary64,18,3.289151410572231,64,0.5,0.5,0.18280865252017975,0.0,0.49658306965591237,0.020671319507528096
canary64,19,3.289150119293481,64,0.5,0.5,0.1828499138355255,0.0,0.49658306965591237,0.019302650849567726
canary64,20,3.288927674293518,64,0.5,0.5,0.18284988403320312,0.0,0.49658306965591237,0.017991826811339706
canary64,21,3.2888076077215374,64,0.5,0.5,0.18290266394615173,0.0,0.49658306965591237,0.016762924613431096
canary64,22,3.2886980529874563,64,0.5,0.5,0.1829104721546173,0.0,0.49658306965591237,0.015580818202579394
canary64,23,3.288807427510619,64,0.5,0.5,0.18290024995803833,0.0,0.49658306965591237,0.014455100506893359
canary64,24,3.2885912666097283,64,0.5,0.5,0.18290811777114868,0.0,0.49658306965591237,0.013389553350862116
canary64,25,3.2886219220235944,64,0.5,0.5,0.1829254925251007,0.0,0.49658306965591237,0.012382616885588504
canary64,26,3.288067942019552,64,0.5,0.5,0.18300506472587585,0.0,0.49658306965591237,0.011427485384047031
canary64,27,3.2879554303362966,64,0.5,0.5,0.1830540895462036,0.0,0.49658306965591237,0.010515403933823109
canary64,28,3.2879546200856566,64,0.5,0.5,0.1830165833234787,0.0,0.49658306965591237,0.00964801199734211
canary64,29,3.287829707376659,64,0.5,0.5,0.18304821848869324,0.0,0.49658306965591237,0.008847489953041077
canary64,30,3.287937195971608,64,0.5,0.5,0.1830277144908905,0.0,0.49658306965591237,0.008089626207947731
canary64,31,3.2880667368881404,64,0.5,0.5,0.18304026126861572,0.0,0.49658306965591237,0.007374430075287819
canary64,32,3.287393352948129,64,0.5,0.5,0.1830947995185852,0.0,0.49658306965591237,0.006693337112665176
canary64,33,3.287292240653187,64,0.5,0.5,0.18314887583255768,0.0,0.49658306965591237,0.006079845130443573
canary64,34,3.287601058371365,64,0.5,0.5,0.18310977518558502,0.0,0.49658306965591237,0.005486318375915289
canary64,35,3.2874927925877273,64,0.5,0.5,0.18311867117881775,0.0,0.49658306965591237,0.004950908478349447
canary64,36,3.2873282628133893,64,0.5,0.5,0.18316014111042023,0.0,0.49658306965591237,0.004456674680113792
canary64,37,3.287024909630418,64,0.5,0.5,0.18318842351436615,0.0,0.49658306965591237,0.003989045042544603
canary64,38,3.2868781848810613,64,0.5,0.5,0.1831909865140915,0.0,0.49658306965591237,0.0035530824679881334
canary64,39,3.286709051579237,64,0.5,0.5,0.1833004653453827,0.0,0.49658306965591237,0.0031729296315461397
canary64,40,3.28656032634899,64,0.5,0.5,0.183237224817276,0.0,0.49658306965591237,0.0028016555588692427
