variant,epoch,loss,train_auc,train_prob_std,train_target_mae,val_auc,val_prob_std,val_target_mae,mid_risk_weight_std,final_risk_weight_std,hidden_std_mean
weight_decay_0,3,1.413881186240663,0.7413173652694611,0.019830786376774844,0.21077920563182792,0.7381864623243933,0.021454215015396252,0.23802459848896737,0.019503278657794,0.012599794194102287,0.43480519686515134
tiny_nonzero_init,1,1.4133855135490496,0.698443113772455,7.372075104404075e-07,0.22004303651215196,0.620051085568327,7.293016293074555e-07,0.2447782846447808,0.003829837776720524,0.0039481669664382935,0.04282646893989295
tiny_nonzero_init,2,1.4143538675270975,0.7161676646706587,7.47120654013692e-07,0.2198826085152632,0.6883780332056194,7.832246243452394e-07,0.24477819329755826,0.006658715195953846,0.0068017286248505116,0.03966234694235027
tiny_nonzero_init,3,1.4153028135187924,0.704191616766467,4.6686702916813246e-07,0.21969152696715355,0.6832694763729247,4.881911680633166e-07,0.24477827525394483,0.01002528052777052,0.010193674825131893,0.038486649515107274
logit_target_mse,1,16.628240963000888,0.6561676646706587,1.8587238687948742e-06,0.22002022361046633,0.6883780332056194,1.7916295537821918e-06,0.2447777551102869,0.0041766539216041565,0.004061614628881216,0.04285544855520129
logit_target_mse,2,16.611471642191947,0.7196407185628743,1.2496614161443322e-06,0.21985634521865904,0.7113665389527458,1.3061632243649237e-06,0.24477799120055957,0.0070970915257930756,0.006932837888598442,0.040085343566412725
logit_target_mse,3,16.599164274321385,0.7167664670658682,4.4498962851237154e-07,0.219675346828429,0.7049808429118773,4.654090375284511e-07,0.244778263379582,0.010291984304785728,0.010110406205058098,0.03891113493591547
class_balanced_bce,1,1.6830648289372523,0.6534131736526946,1.0453771363256572e-05,0.21919903932113508,0.6187739463601533,9.377731361866725e-06,0.2447775274019174,0.014192145317792892,0.014542418532073498,0.06040424775953094
class_balanced_bce,2,1.7016339985032876,0.7111377245508982,0.00015695797130997705,0.21784357506135166,0.6807151979565773,0.00015759140800701422,0.2448717473665359,0.030572164803743362,0.03112977184355259,0.07402761156360309
class_balanced_bce,3,1.728509930272897,0.7178443113772455,0.014034664620691112,0.21262766971896477,0.6781609195402298,0.013828764806030182,0.2490860086563771,0.04658864811062813,0.05173467472195625,0.7392092232281963
focal_bce,1,0.3125115448395566,0.7310179640718563,1.9909191147661696e-05,0.21922413462281534,0.6896551724137931,2.0546519308141292e-05,0.2447735202313197,0.014833727851510048,0.014824277721345425,0.05817009365030875
focal_bce,2,0.32237743893832277,0.7082634730538923,0.00030952622370188565,0.21786631403930792,0.6819923371647509,0.0003209010050909097,0.24483295025311236,0.031898654997348785,0.03185653313994408,0.07219439504357676
focal_bce,3,0.34709792890195484,0.7192814371257485,0.026041662621734008,0.21111388229739228,0.6781609195402298,0.027014766754125015,0.24526956890561755,0.05189080908894539,0.05108373612165451,0.3476640407461673
