name,oof_fold,variant,A0_PSNR,candidate_PSNR,dPSNR,oracle_dPSNR,pred_delta_abs_mean,pred_delta_rms,target_delta_abs_mean,target_delta_rms,cosine_to_oracle_delta,dot_to_oracle_delta,wrong_direction
112_0.8_1.78.png,0,P1_mlp_pooled_ll,34.0411262512207,32.0048942565918,-2.0362319946289062,1.7170028686523438,0.003071047365665436,0.007125389762222767,0.004041423089802265,0.010140541940927505,-0.9768901467323303,-0.0022587361745536327,1
615_0.76_1.49.png,1,P1_mlp_pooled_ll,36.86820602416992,34.83329391479492,-2.034912109375,1.7813987731933594,0.0024175005964934826,0.005173686426132917,0.0036644241772592068,0.008656894788146019,-0.9271600842475891,-0.0013288225745782256,1
1424_0.94_1.89.png,4,P1_mlp_pooled_ll,33.23734664916992,31.237089157104492,-2.0002574920654297,0.34551239013671875,0.004732088185846806,0.01056935079395771,0.002326879184693098,0.004821110051125288,-0.9070886969566345,-0.001479091588407755,1
1017_0.91_1.44.png,0,P1_mlp_pooled_ll,33.62205123901367,31.63810920715332,-1.9839420318603516,0.21039199829101562,0.005061596632003784,0.011011004447937012,0.0038336075376719236,0.006188421975821257,0.1793186068534851,0.00039100489811971784,0
1434_0.83_1.44.png,1,P1_mlp_pooled_ll,40.576419830322266,38.64816665649414,-1.928253173828125,0.00279998779296875,0.0036006546579301357,0.006784454453736544,0.0019203281262889504,0.0027834041975438595,0.4038788974285126,0.0002440576208755374,0
2572_0.54_1.3.png,0,P1_mlp_pooled_ll,47.53760528564453,45.625,-1.9126052856445312,0.4372825622558594,0.0010295658139511943,0.0020231003873050213,0.0008834097534418106,0.0015994316199794412,-0.7153291702270508,-7.406943041132763e-05,1
1766_0.84_0.74.png,2,P1_mlp_pooled_ll,42.235111236572266,40.352149963378906,-1.8829612731933594,0.2843894958496094,0.00171285483520478,0.0037797712720930576,0.0014965853188186884,0.0024203641805797815,-0.7724432945251465,-0.00022613242617808282,1
777_0.96_0.95.png,4,P1_mlp_pooled_ll,33.34059524536133,31.523014068603516,-1.8175811767578125,6.713825225830078,0.0024302867241203785,0.005022497847676277,0.009784774854779243,0.018436023965477943,-0.9670933485031128,-0.0028655328787863255,1
407_0.59_0.69.png,2,P1_mlp_pooled_ll,44.974830627441406,43.172386169433594,-1.8024444580078125,0.7214813232421875,0.0011253193952143192,0.002252243459224701,0.0014557978138327599,0.0021477716509252787,-0.7837970852851868,-0.00012132686970289797,1
1827_0.65_0.73.png,3,P1_mlp_pooled_ll,48.25597381591797,46.4976806640625,-1.7582931518554688,0.6309928894042969,0.0008666908834129572,0.0016808873042464256,0.0008714661234989762,0.0011452763574197888,-0.7158700227737427,-4.409943358041346e-05,1
