profile,group,bin,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB,usage_WD0375,group_gate_pass
WD0375,depth_q4,q2,150,2.5661071904500328,2.394379894256592,3.4928653304641313,3.3433582821407835,1.1347889255832981,0.0015281283855438233,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674,1.0,True
WD0375,depth_q4,q3,150,2.556202278137207,2.387474641164144,3.619494412396405,3.4510023581015097,0.995037181957348,0.0017812093098958333,0.96,0.9154854608728422,0.96,5,20.0,0.0756528425070956,1.0,True
WD0375,depth_q4,q4,150,2.271156298319499,2.1156451314290363,3.39414931632377,3.168387013512689,0.9779544521022487,0.0015083523591359457,0.96,0.9154854608728422,0.96,5,20.0,0.0756528425070956,1.0,True
WD0375,dark_channel_q4,q1,150,1.918623415629069,1.7504766082763672,3.2905657484724715,3.1185674126083787,0.5807047663508235,0.0012057272593180338,0.9333333333333333,0.8816364734751868,0.9333333333333333,7,28.0,0.09318757392357377,1.0,True
WD0375,dark_channel_q4,q2,150,2.4014801661173504,2.230034335454305,3.4548789874927417,3.213087375743969,1.105771863782728,0.001297308603922526,0.9733333333333334,0.9334450938998244,0.9733333333333334,3,12.0,0.05714766586424166,1.0,True
WD0375,dark_channel_q4,q3,150,2.79062380472819,2.6370806763966876,3.7100700172218115,3.576056248432881,1.7653770446777344,0.0017549355824788412,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674,1.0,True
WD0375,dark_channel_q4,q4,150,2.9380808130900067,2.8105109933217367,3.626474380493164,3.4712528331859693,2.1108477824443095,0.0024353766441345213,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,1.0,True
WD0375,low_texture_q4,q1,150,2.232314669291178,2.027942934036255,3.4519739408750794,3.2342217136073756,0.725367056356894,0.0019607059160868328,0.94,0.8899090795570952,0.94,7,28.0,0.09318757392357377,1.0,True
WD0375,low_texture_q4,q2,150,2.6474337641398114,2.490963903427124,3.6600196941478833,3.5075723261446567,1.1563891849002323,0.001667731205622355,0.98,0.9428523341357584,0.98,2,8.0,0.047307856380276334,1.0,True
WD0375,low_texture_q4,q3,150,2.5992558161417643,2.4416559454600018,3.510653779313371,3.3185482205571355,1.613969338906778,0.0016096818447113037,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,1.0,True
WD0375,low_texture_q4,q4,150,2.569803949991862,2.425245864868164,3.5635678059345968,3.394766469903894,1.4053140588708826,0.001455229123433431,0.98,0.9428523341357584,0.98,1,4.0,0.036793752933975674,1.0,True
WD0375,edge_density_q4,q1,150,2.384231071472168,2.2146722412109376,3.6135109050853833,3.453957885020488,0.9687425768053209,0.0023551106452941893,0.9466666666666667,0.8982949952532904,0.9466666666666667,5,20.0,0.0756528425070956,1.0,True
WD0375,edge_density_q4,q2,150,2.3136828994750975,2.1574264761606856,3.448918883864944,3.3039539337158206,0.8685293455381651,0.0017318896452585856,0.9733333333333334,0.9334450938998244,0.9733333333333334,4,16.0,0.06655490610017561,1.0,True
WD0375,edge_density_q4,q3,150,2.6065932591756185,2.45228617922465,3.6024630263045028,3.4088753777581293,1.3519661362106736,0.0012450842062632242,0.98,0.9428523341357584,0.98,2,8.0,0.047307856380276334,1.0,True
WD0375,edge_density_q4,q4,150,2.7443009694417317,2.578160982131958,3.574465158823374,3.4231998649803366,1.4809064091862858,0.0013612635930379232,0.9933333333333333,0.9632062470660242,0.9933333333333333,0,0.0,0.02497113914571871,1.0,True
WD0375,sky_highlight_proxy_q4,q1,150,2.340530637105306,2.1615103549957273,3.6052136292328707,3.494026975373964,0.9711538778769003,0.0011951454480489095,0.9533333333333334,0.9068124260764262,0.9533333333333334,4,16.0,0.06655490610017561,1.0,True
WD0375,sky_highlight_proxy_q4,q2,150,2.0796402867635093,1.9028090432484945,3.233024854917784,3.005272782815469,0.8156047511745144,0.0012910048166910808,0.9533333333333334,0.9068124260764262,0.9533333333333334,6,24.0,0.08451453912715763,1.0,True
WD0375,sky_highlight_proxy_q4,q3,150,2.5455166625976564,2.389038262049357,3.522100293958509,3.3598934250908927,1.4078235110721073,0.00203887939453125,0.9866666666666667,0.9526921436197237,0.9866666666666667,1,4.0,0.036793752933975674,1.0,True
WD0375,sky_highlight_proxy_q4,q4,150,3.0831206130981443,2.9446441300710045,3.638763479284338,3.473139984543259,2.2300233583192566,0.002168318430582682,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,1.0,True
