profile,group,bin,count,mean_dPSNR,mean_bootstrap_LCB,hard_bottom25_dPSNR,hard_bootstrap_LCB,easy_top25_dPSNR,dSSIM,positive_ratio,positive_Wilson_LCB,nonnegative_ratio,severe_loss_count,severe_loss_per_600,severe_Wilson_UCB,usage_WD0375,group_gate_pass,usage_WD050,usage_FS050,usage_WD0375_or_FS050_oracle,usage_S3_oracle
WD050,A0_PSNR_q4,q1,150,4.909155438741048,4.762916417439779,5.348662659928605,5.1387170611201105,4.460734702445365,0.003914837837219238,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,,True,1.0,,,
WD050,A0_PSNR_q4,q2,150,4.001099624633789,3.8550200525919593,4.5369573026090055,4.26324628881506,3.63790563634924,0.0017961657047271728,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,,True,1.0,,,
WD050,A0_PSNR_q4,q3,150,2.882611821492513,2.670960614522298,3.4294239765888936,2.944309951163627,2.2718309969515413,0.0014464505513509115,0.9866666666666667,0.9526921436197237,0.9866666666666667,2,8.0,0.047307856380276334,,True,1.0,,,
WD050,A0_PSNR_q4,q4,150,1.1265544637044271,0.9607026824951173,2.0617987143026815,1.745675262244972,0.155792236328125,0.0006979103883107504,0.8133333333333334,0.7434413916324496,0.8133333333333334,20,80.0,0.1969815064476629,,False,1.0,,,
WD050,WDMamba_A0_diff_signed_q4,q1,150,4.759414494832357,4.579264598210653,5.247397448565509,5.047478580474854,3.8692389823294975,0.003334498405456543,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,,True,1.0,,,
WD050,WDMamba_A0_diff_signed_q4,q2,150,2.7885459899902343,2.60333501180013,3.6863773449047192,3.4057008485536318,1.5798803793417442,0.0016451982657114666,0.9533333333333334,0.9068124260764262,0.9533333333333334,5,20.0,0.0756528425070956,,True,1.0,,,
WD050,WDMamba_A0_diff_signed_q4,q3,150,1.705900624593099,1.490002321243286,3.3149828524202913,2.8710245983020677,0.276327184728674,0.0011629748344421386,0.8866666666666667,0.8259959574322895,0.8866666666666667,13,52.0,0.14262945312423528,,False,1.0,,,
WD050,WDMamba_A0_diff_signed_q4,q4,150,3.665560239156087,3.454482032140096,4.919756554268502,4.609431436899547,1.844689652726457,0.0017126929759979249,0.9666666666666667,0.9243471574929044,0.9666666666666667,3,12.0,0.05714766586424166,,True,1.0,,,
WD050,WDMamba_A0_diff_abs_q4,q1,150,1.1078830210367838,0.9272822354634602,1.8475866575498838,1.55764748856828,0.155792236328125,0.0007481793562571208,0.8266666666666667,0.7581386789428641,0.8266666666666667,21,84.00000000000001,0.20455343144015736,,False,1.0,,,
WD050,WDMamba_A0_diff_abs_q4,q2,150,2.834334411621094,2.6414518470764157,3.04802806957348,2.77818180805928,2.178286784404033,0.0014194953441619873,0.98,0.9428523341357584,0.98,0,0.0,0.02497113914571871,,True,1.0,,,
WD050,WDMamba_A0_diff_abs_q4,q3,150,3.8840361785888673,3.7045549647013347,4.01130418519716,3.7646174198872338,3.219756049078864,0.0019311686356862387,0.9933333333333333,0.9632062470660242,0.9933333333333333,1,4.0,0.036793752933975674,,True,1.0,,,
WD050,WDMamba_A0_diff_abs_q4,q4,150,5.093167737325032,4.9610727074941,5.348662659928605,5.1502735833863955,4.751086467021221,0.0037565211455027263,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,,True,1.0,,,
WD050,FSNet_A0_diff_signed_q4,q1,150,4.300757802327474,4.126778134663899,5.382616816340266,5.149198560456972,3.0421475590886295,0.003219866752624512,1.0,0.9750288608542813,1.0,0,0.0,0.02497113914571871,,True,1.0,,,
