label,tau_gain,tau_risk,tau_ood_quantile,tau_ood,count,coverage,alpha_1p00_count,alpha_0p75_count,alpha_0p50_count,alpha_0p25_count,alpha_0p00_count,mean_delta,median_delta,p5_delta,p95_delta,hard_bottom25_delta,easy_top25_delta,worst10pct_delta,best10pct_delta,mean_ssim_delta,positive_ratio,worst_regression_ratio,strong_regression_ratio,oof_gate_pass
train_inner_oof_policy,0.55,0.15,0.98,6.000428270953341,2400,0.06458333333333334,5,2,17,131,2245,0.04123924493789673,0.0,0.0,0.3177885055542002,0.01597939861570677,0.05214509135317908,-0.01316055456797282,0.4255530039469401,1.6285404562950134e-05,0.06041666666666667,0.0020833333333333333,0.0014727540500736377,False
train_inner_oof_policy,0.6,0.15,1.0,271.89984073596213,2400,0.06583333333333333,7,2,18,131,2242,0.041231366793314614,0.0,0.0,0.3177885055542002,0.025156918937368662,0.05214509135317908,-0.027541097005208334,0.4398547649383545,1.746500531832377e-05,0.060833333333333336,0.0025,0.0014727540500736377,False
train_inner_oof_policy,0.6,0.15,0.95,4.738130949228098,2400,0.06291666666666666,5,2,17,127,2249,0.04097723960876465,0.0,0.0,0.29456691741943447,0.0163581252356672,0.05214509135317908,-0.012433083852132161,0.42220547993977864,1.5883296728134156e-05,0.059583333333333335,0.0020833333333333333,0.0014727540500736377,False
train_inner_oof_policy,0.6,0.15,0.98,6.000428270953341,2400,0.06333333333333334,5,2,17,128,2248,0.04094652970631917,0.0,0.0,0.29456691741943447,0.01619824721859748,0.05214509135317908,-0.012740182876586913,0.42220547993977864,1.5897427995999654e-05,0.059583333333333335,0.0020833333333333333,0.0014727540500736377,False
train_inner_oof_policy,0.65,0.15,1.0,271.89984073596213,2400,0.06375,7,2,18,126,2247,0.04070106188456218,0.0,0.0,0.28014526367187687,0.02531679695443838,0.05214509135317908,-0.027233997980753582,0.43424461682637533,1.7299950122833252e-05,0.059166666666666666,0.0025,0.0014727540500736377,False
train_inner_oof_policy,0.65,0.15,0.95,4.738130949228098,2400,0.06125,5,2,17,123,2253,0.04041622479756673,0.0,0.0,0.270259284973145,0.0163581252356672,0.05214509135317908,-0.012433083852132161,0.41659533182779945,1.5732372800509136e-05,0.057916666666666665,0.0020833333333333333,0.0014727540500736377,False
train_inner_oof_policy,0.65,0.15,0.98,6.000428270953341,2400,0.06125,5,2,17,123,2253,0.04041622479756673,0.0,0.0,0.270259284973145,0.0163581252356672,0.05214509135317908,-0.012433083852132161,0.41659533182779945,1.5732372800509136e-05,0.057916666666666665,0.0020833333333333333,0.0014727540500736377,False
train_inner_oof_policy,0.7,0.15,1.0,271.89984073596213,2400,0.06041666666666667,7,2,18,118,2255,0.04002710501352946,0.0,0.0,0.23728237152100237,0.025212285834124187,0.05214509135317908,-0.026853418350219725,0.42712446848551433,1.6630863149960836e-05,0.05625,0.0025,0.0014727540500736377,False
train_inner_oof_policy,0.7,0.15,0.95,4.738130949228098,2400,0.057916666666666665,5,2,17,115,2261,0.039742267926534014,0.0,0.0,0.21373023986816514,0.016253614115353004,0.05214509135317908,-0.012052504221598308,0.40947518348693845,1.5063285827636719e-05,0.055,0.0020833333333333333,0.0014727540500736377,False
train_inner_oof_policy,0.7,0.15,0.98,6.000428270953341,2400,0.057916666666666665,5,2,17,115,2261,0.039742267926534014,0.0,0.0,0.21373023986816514,0.016253614115353004,0.05214509135317908,-0.012052504221598308,0.40947518348693845,1.5063285827636719e-05,0.055,0.0020833333333333333,0.0014727540500736377,False
train_inner_oof_policy,0.45,0.15,0.9,4.029165512900155,2400,0.06041666666666667,4,2,16,123,2255,0.03948515017827352,0.0,0.0,0.23728237152100237,0.016606217092650574,0.05221675597515303,-0.009248105684916179,0.4040996074676514,1.4866342147191365e-05,0.0575,0.0016666666666666668,0.0014727540500736377,False
train_inner_oof_policy,0.5,0.15,0.9,4.029165512900155,2400,0.06041666666666667,4,2,16,123,2255,0.03948515017827352,0.0,0.0,0.23728237152100237,0.016606217092650574,0.05221675597515303,-0.009248105684916179,0.4040996074676514,1.4866342147191365e-05,0.0575,0.0016666666666666668,0.0014727540500736377,False
train_inner_oof_policy,0.55,0.15,0.9,4.029165512900155,2400,0.06041666666666667,4,2,16,123,2255,0.03948515017827352,0.0,0.0,0.23728237152100237,0.016606217092650574,0.05221675597515303,-0.009248105684916179,0.4040996074676514,1.4866342147191365e-05,0.0575,0.0016666666666666668,0.0014727540500736377,False
train_inner_oof_policy,0.6,0.15,0.9,4.029165512900155,2400,0.059583333333333335,4,2,16,121,2257,0.03937825838724772,0.0,0.0,0.2201990127563506,0.01682506569554128,0.05221675597515303,-0.008827733993530273,0.4026103178660075,1.4730766415596009e-05,0.05708333333333333,0.0016666666666666668,0.0014727540500736377,False
train_inner_oof_policy,0.65,0.15,0.9,4.029165512900155,2400,0.057916666666666665,4,2,16,117,2261,0.038817243576049806,0.0,0.0,0.20122871398925968,0.01682506569554128,0.05221675597515303,-0.008827733993530273,0.3970001697540283,1.4579842487970987e-05,0.05541666666666667,0.0016666666666666668,0.0014727540500736377,False
train_inner_oof_policy,0.7,0.15,0.9,4.029165512900155,2400,0.055,4,2,16,110,2268,0.038377418518066406,0.0,0.0,0.19259719848632872,0.016720554575227087,0.05221675597515303,-0.00844715436299642,0.3922213395436605,1.4144554734230042e-05,0.05291666666666667,0.0016666666666666668,0.0014727540500736377,False
train_inner_oof_policy,0.7,0.1,0.95,4.738130949228098,2400,0.009583333333333333,0,0,1,22,2377,0.006113058725992839,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,0.0,0.061130587259928384,2.2959460814793907e-06,0.009583333333333333,0.0,0.0,False
train_inner_oof_policy,0.7,0.1,0.98,6.000428270953341,2400,0.009583333333333333,0,0,1,22,2377,0.006113058725992839,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,0.0,0.061130587259928384,2.2959460814793907e-06,0.009583333333333333,0.0,0.0,False
train_inner_oof_policy,0.45,0.1,0.95,4.738130949228098,2400,0.01,0,0,1,23,2376,0.0060750007629394535,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.061130587259928384,2.307966351509094e-06,0.009583333333333333,0.0,0.0,False
train_inner_oof_policy,0.45,0.1,0.98,6.000428270953341,2400,0.01,0,0,1,23,2376,0.0060750007629394535,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.061130587259928384,2.307966351509094e-06,0.009583333333333333,0.0,0.0,False
train_inner_oof_policy,0.5,0.1,0.95,4.738130949228098,2400,0.01,0,0,1,23,2376,0.0060750007629394535,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.061130587259928384,2.307966351509094e-06,0.009583333333333333,0.0,0.0,False
train_inner_oof_policy,0.5,0.1,0.98,6.000428270953341,2400,0.01,0,0,1,23,2376,0.0060750007629394535,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.061130587259928384,2.307966351509094e-06,0.009583333333333333,0.0,0.0,False
train_inner_oof_policy,0.55,0.1,0.95,4.738130949228098,2400,0.01,0,0,1,23,2376,0.0060750007629394535,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.061130587259928384,2.307966351509094e-06,0.009583333333333333,0.0,0.0,False
train_inner_oof_policy,0.55,0.1,0.98,6.000428270953341,2400,0.01,0,0,1,23,2376,0.0060750007629394535,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.061130587259928384,2.307966351509094e-06,0.009583333333333333,0.0,0.0,False
train_inner_oof_policy,0.6,0.1,0.95,4.738130949228098,2400,0.01,0,0,1,23,2376,0.0060750007629394535,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.061130587259928384,2.307966351509094e-06,0.009583333333333333,0.0,0.0,False
train_inner_oof_policy,0.6,0.1,0.98,6.000428270953341,2400,0.01,0,0,1,23,2376,0.0060750007629394535,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.061130587259928384,2.307966351509094e-06,0.009583333333333333,0.0,0.0,False
train_inner_oof_policy,0.65,0.1,0.95,4.738130949228098,2400,0.01,0,0,1,23,2376,0.0060750007629394535,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.061130587259928384,2.307966351509094e-06,0.009583333333333333,0.0,0.0,False
train_inner_oof_policy,0.65,0.1,0.98,6.000428270953341,2400,0.01,0,0,1,23,2376,0.0060750007629394535,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.061130587259928384,2.307966351509094e-06,0.009583333333333333,0.0,0.0,False
train_inner_oof_policy,0.7,0.1,0.9,4.029165512900155,2400,0.009166666666666667,0,0,1,21,2378,0.00574851671854655,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,0.0,0.057485167185465494,2.133448918660482e-06,0.009166666666666667,0.0,0.0,False
train_inner_oof_policy,0.45,0.1,0.9,4.029165512900155,2400,0.009583333333333333,0,0,1,22,2377,0.005710458755493164,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.057485167185465494,2.1454691886901854e-06,0.009166666666666667,0.0,0.0,False
train_inner_oof_policy,0.5,0.1,0.9,4.029165512900155,2400,0.009583333333333333,0,0,1,22,2377,0.005710458755493164,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.057485167185465494,2.1454691886901854e-06,0.009166666666666667,0.0,0.0,False
train_inner_oof_policy,0.55,0.1,0.9,4.029165512900155,2400,0.009583333333333333,0,0,1,22,2377,0.005710458755493164,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.057485167185465494,2.1454691886901854e-06,0.009166666666666667,0.0,0.0,False
train_inner_oof_policy,0.6,0.1,0.9,4.029165512900155,2400,0.009583333333333333,0,0,1,22,2377,0.005710458755493164,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.057485167185465494,2.1454691886901854e-06,0.009166666666666667,0.0,0.0,False
train_inner_oof_policy,0.65,0.1,0.9,4.029165512900155,2400,0.009583333333333333,0,0,1,22,2377,0.005710458755493164,0.0,0.0,0.0,0.0015615765288181263,0.006295683106547427,-0.00038057963053385416,0.057485167185465494,2.1454691886901854e-06,0.009166666666666667,0.0,0.0,False
train_inner_oof_policy,0.7,0.1,1.0,271.89984073596213,2400,0.010416666666666666,1,0,2,22,2375,0.005335124333699545,0.0,0.0,0.0,0.004498777575710073,0.006295683106547427,-0.013421217600504557,0.0667724609375,2.2260348002115884e-06,0.01,0.0004166666666666667,0.0,False
train_inner_oof_policy,0.45,0.1,1.0,271.89984073596213,2400,0.010833333333333334,1,0,2,23,2374,0.005297066370646159,0.0,0.0,0.0,0.004498777575710073,0.006295683106547427,-0.013801797231038412,0.0667724609375,2.2380550702412922e-06,0.01,0.0004166666666666667,0.0,False
train_inner_oof_policy,0.5,0.1,1.0,271.89984073596213,2400,0.010833333333333334,1,0,2,23,2374,0.005297066370646159,0.0,0.0,0.0,0.004498777575710073,0.006295683106547427,-0.013801797231038412,0.0667724609375,2.2380550702412922e-06,0.01,0.0004166666666666667,0.0,False
train_inner_oof_policy,0.55,0.1,1.0,271.89984073596213,2400,0.010833333333333334,1,0,2,23,2374,0.005297066370646159,0.0,0.0,0.0,0.004498777575710073,0.006295683106547427,-0.013801797231038412,0.0667724609375,2.2380550702412922e-06,0.01,0.0004166666666666667,0.0,False
train_inner_oof_policy,0.6,0.1,1.0,271.89984073596213,2400,0.010833333333333334,1,0,2,23,2374,0.005297066370646159,0.0,0.0,0.0,0.004498777575710073,0.006295683106547427,-0.013801797231038412,0.0667724609375,2.2380550702412922e-06,0.01,0.0004166666666666667,0.0,False
