split,name,fold,v17_bucket,chosen_alpha,selected_delta_psnr,selected_delta_ssim,udp_delta_psnr,a0_psnr,ood_distance
val_regular,1012_0.85_1.28.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,1.1451644897460938,38.42698669433594,2.523196873835973
val_regular,1016_0.8_1.72.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,-2.1316452026367188,39.64661407470703,1.3177227060269636
val_regular,1023_0.5_1.87.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,-4.527011871337891,37.447303771972656,2.7998318168712277
val_regular,1031_0.76_0.7.png,trainheldout,easy_top25_by_a0_fulltrain,0.0,0.0,0.0,-0.3807563781738281,42.88265609741211,2.0493852640495462
val_regular,1035_0.76_1.14.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,2.0377883911132812,33.76014709472656,2.002759830742286
val_regular,1037_0.89_0.54.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-0.5635643005371094,35.92600631713867,2.685386145856177
val_regular,1039_0.79_1.79.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-0.2114734649658203,32.156375885009766,2.2834807327235787
val_regular,1063_0.51_1.61.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-3.2390365600585938,34.049652099609375,2.062708665249295
val_regular,1076_0.71_1.18.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,0.0364532470703125,35.264984130859375,2.4635454163865953
val_regular,1080_0.59_1.22.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,-1.3842353820800781,40.88210678100586,4.747350430811325
val_regular,1085_0.71_1.3.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,-1.5453872680664062,40.47211456298828,3.879062284778057
val_regular,1087_0.68_1.22.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,-1.8573570251464844,41.450706481933594,3.7425343352943807
val_regular,1100_0.58_1.95.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,1.1354904174804688,31.10500717163086,3.876204532792143
val_regular,1102_0.65_0.94.png,trainheldout,hard_bottom25_by_a0_fulltrain,1.0,1.827972412109375,0.0005307197570800781,1.827972412109375,29.688369750976562,3.2100568686233935
val_regular,1110_0.92_0.77.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,-1.5102043151855469,39.895408630371094,2.5352891219701053
val_regular,1122_0.94_0.53.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,1.3516082763671875,40.95265197753906,2.8448271067844617
val_regular,1128_0.8_1.45.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,-0.5571022033691406,37.508033752441406,2.416121507502903
val_regular,1133_0.68_1.41.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,3.1506500244140625,32.886505126953125,4.617962697359502
val_regular,1134_0.69_1.2.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,2.53472900390625,32.375640869140625,4.462361941545238
val_regular,114_0.75_1.45.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-0.7078590393066406,33.996910095214844,1.9359500229121855
val_regular,1157_0.56_1.98.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,-2.794971466064453,39.68464279174805,3.491656953892478
val_regular,1177_0.71_1.64.png,trainheldout,hard_bottom25_by_a0_fulltrain,1.0,3.1712265014648438,0.0009837746620178223,3.1712265014648438,34.71192932128906,3.0937147773106775
val_regular,1183_0.84_1.24.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,2.782196044921875,34.02747344970703,2.4195318351940487
val_regular,1200_0.97_0.52.png,trainheldout,hard_bottom25_by_a0_fulltrain,1.0,2.3072967529296875,0.0005204677581787109,2.3072967529296875,31.913738250732422,3.443190692937782
val_regular,1212_0.8_1.74.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-2.3882522583007812,30.234447479248047,4.41636595131062
val_regular,1233_0.54_0.63.png,trainheldout,mid_by_a0_fulltrain,0.0,0.0,0.0,-1.954498291015625,37.283382415771484,2.2794465677659455
val_regular,1246_0.62_2.0.png,trainheldout,hard_bottom25_by_a0_fulltrain,0.0,0.0,0.0,-1.0044479370117188,33.34962463378906,2.6958432898962377
