mode,split,fold,index,name,mapper,K,candidate_scale,family,anchor_psnr,output_psnr,oracle_psnr,output_gain,oracle_gain,corr,P_benefit,proxy_score,M_safe_mean,M_safe_nonzero_frac,pred_abs_mean,scaled_pred_abs_mean,target_abs_mean
v04d,train,0,65,105_0.74_1.06.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,36.51557922363281,36.8863410949707,37.19145965576172,0.3707618713378906,0.6758804321289062,0.8946651220321655,1.0,0.999879002571106,0.09047608077526093,1.0,0.007973331958055496,0.007973331958055496,0.008682972751557827
v04d,train,0,65,105_0.74_1.06.png,spatial_priors_kernel_knn_9,16,1.0,spatial_priors_kernel_knn,36.51557922363281,36.72509002685547,37.19145965576172,0.20951080322265625,0.6758804321289062,0.7416380047798157,1.0,0.999879002571106,0.09047608077526093,1.0,0.0034823401365429163,0.0034823401365429163,0.008682972751557827
v04d,train,0,65,105_0.74_1.06.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,36.51557922363281,37.12158966064453,37.19145965576172,0.6060104370117188,0.6758804321289062,0.9236108660697937,1.0,0.999879002571106,0.09047608077526093,1.0,0.008888558484613895,0.008888558484613895,0.008682972751557827
v04d,train,0,65,105_0.74_1.06.png,global_mean_coeff,16,1.0,global_mean,36.51557922363281,36.51849365234375,37.19145965576172,0.0029144287109375,0.6758804321289062,0.6688394546508789,1.0,0.999879002571106,0.09047608077526093,1.0,0.006135018542408943,0.006135018542408943,0.008682972751557827
v04d,train,0,66,1060_0.94_1.09.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,40.51256561279297,40.68560028076172,41.18748092651367,0.17303466796875,0.6749153137207031,0.44135627150535583,1.0,0.9989827275276184,0.0858127698302269,1.0,0.004401941783726215,0.004401941783726215,0.005620620213449001
v04d,train,0,66,1060_0.94_1.09.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,40.51256561279297,40.7021484375,41.18748092651367,0.18958282470703125,0.6749153137207031,0.5131970047950745,1.0,0.9989827275276184,0.0858127698302269,1.0,0.00604223133996129,0.00604223133996129,0.005620620213449001
v04d,train,0,66,1060_0.94_1.09.png,spatial_priors_kernel_knn_9,16,1.0,spatial_priors_kernel_knn,40.51256561279297,40.58742904663086,41.18748092651367,0.07486343383789062,0.6749153137207031,0.18325775861740112,1.0,0.9989827275276184,0.0858127698302269,1.0,0.003939579240977764,0.003939579240977764,0.005620620213449001
v04d,train,0,66,1060_0.94_1.09.png,spatial_priors_ridge_10,16,1.0,spatial_priors_ridge,40.51256561279297,40.876060485839844,41.18748092651367,0.363494873046875,0.6749153137207031,0.7794051170349121,1.0,0.9989827275276184,0.0858127698302269,1.0,0.0041819107718765736,0.0041819107718765736,0.005620620213449001
v04d,train,0,66,1060_0.94_1.09.png,global_mean_coeff,16,1.0,global_mean,40.51256561279297,40.46117401123047,41.18748092651367,-0.0513916015625,0.6749153137207031,-0.096397764980793,1.0,0.9989827275276184,0.0858127698302269,1.0,0.006135018542408943,0.006135018542408943,0.005620620213449001
v04d,train,0,67,1061_0.91_0.94.png,global_plus_spatial_kernel_knn_9,16,1.0,global_plus_spatial_kernel_knn,35.471275329589844,35.805667877197266,36.401832580566406,0.3343925476074219,0.9305572509765625,0.5351094603538513,1.0,0.9999305009841919,0.10785474628210068,1.0,0.006198259070515633,0.006198259070515633,0.01212986558675766
v04d,train,0,67,1061_0.91_0.94.png,convir_spatial_kernel_knn_9,16,1.0,convir_spatial_kernel_knn,35.471275329589844,35.83799743652344,36.401832580566406,0.36672210693359375,0.9305572509765625,0.5077866315841675,1.0,0.9999305009841919,0.10785474628210068,1.0,0.007155243307352066,0.007155243307352066,0.01212986558675766
