bootstrap_replicates,bootstrap_seed,endpoint,estimate,key,kind,lower,max_statistic_critical,method,method_index,operator,schema_version,simultaneous_max_statistic,standard_error,upper,window,window_index
1000,3407,harm,-6.33514074532826e-10,0031:absolute:historical_sequential_gradient:shuffled16:D_rep:harm,absolute,-1.4726363441741482e-09,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,1.470177771673848e-10,2.056081951084961e-10,shuffled16,1
1000,3407,margin,-1.1239942253305456e-09,0032:absolute:historical_sequential_gradient:shuffled16:D_rep:margin,absolute,-1.8747012376345074e-09,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,1.315270494490307e-10,-3.732872130265838e-10,shuffled16,1
1000,3407,cvar25,-2.2301769320165477e-09,0033:absolute:historical_sequential_gradient:shuffled16:D_rep:cvar25,absolute,-5.1653121794651376e-09,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,5.14248132098774e-10,7.049583154320427e-10,shuffled16,1
1000,3407,cvar10,-3.2071564123478614e-09,0034:absolute:historical_sequential_gradient:shuffled16:D_rep:cvar10,absolute,-9.582117842793824e-09,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,1.1169202545805294e-09,3.167805018098101e-09,shuffled16,1
1000,3407,severe_rate,-6.103515625e-05,0035:absolute:historical_sequential_gradient:shuffled16:D_rep:severe_rate,absolute,-0.00051465007905676,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,7.947525653145962e-05,0.00039257976655676,shuffled16,1
1000,3407,hard_rate,-6.103515625e-05,0036:absolute:historical_sequential_gradient:shuffled16:D_rep:hard_rate,absolute,-0.00044848627819374734,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,6.788307827121218e-05,0.00032641596569374734,shuffled16,1
1000,3407,render_mse,-2.849813163230408e-10,0037:absolute:historical_sequential_gradient:shuffled16:D_rep:render_mse,absolute,-1.3072893305719773e-09,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,1.791126958166961e-10,7.373266979258957e-10,shuffled16,1
1000,3407,mean_psnr,1.0244835237926964e-05,0038:absolute:historical_sequential_gradient:shuffled16:D_rep:mean_psnr,absolute,-6.136499019681846e-06,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,2.8700791728707343e-06,2.6626169495535773e-05,shuffled16,1
1000,3407,p05_psnr,-1.943520828362466e-05,0039:absolute:historical_sequential_gradient:shuffled16:D_rep:p05_psnr,absolute,-0.0001405637527259841,5.707624518672681,historical_sequential_gradient,0,D_rep,1,True,2.122223423178652e-05,0.00010169333615873476,shuffled16,1
1000,3407,anchor,-2.3260654513634904e-10,0040:absolute:historical_sequential_gradient:prestratified32:D_ref:anchor,absolute,-6.169708397104432e-10,5.707624518672681,historical_sequential_gradient,0,D_ref,1,True,6.734225303655377e-11,1.5175774943774503e-10,prestratified32,2
