variant,control_family,control_name,stage_set,source_bucket,target_bucket,pre_envelope_mean_dpsnr,pre_envelope_p05,pre_envelope_cvar5,pre_envelope_unsafe_rate,pre_envelope_severe_rate,post_envelope_accept_rate,post_envelope_mean_dpsnr,post_envelope_p05,post_envelope_cvar5,post_envelope_unsafe_rate,post_envelope_severe_rate,gate_interpretation
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_1.5,S6_early_mid_final,mid_50,mid_50,0.32219753265380857,-2.7679632186889647,-3.474557876586914,0.4,0.375,0.725,0.3797656092150458,-1.5654869079589844,-1.6275882720947266,0.3793103448275862,0.3103448275862069,FAIL_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S4_final_decoder,all,easy_top25,-2.777556610107422,-6.353456115722656,-6.890411376953125,0.8,0.8,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S4_final_decoder,all,hard_bottom25,0.4711295127868652,-1.1242552757263184,-1.1313056945800781,0.4,0.3,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S4_final_decoder,all,mid_50,-0.08501644134521484,-3.017120361328125,-4.1805419921875,0.45,0.45,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S4_final_decoder,easy_top25,easy_top25,-0.8602729797363281,-2.4975648880004884,-2.6962051391601562,0.9,0.75,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S4_final_decoder,hard_bottom25,hard_bottom25,-0.5944143295288086,-3.711594009399414,-4.552433013916016,0.55,0.55,0.85,0.3710759106804343,-0.2661746978759766,-0.2692432403564453,0.23529411764705882,0.17647058823529413,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S4_final_decoder,mid_50,mid_50,-0.8765554428100586,-4.296421241760254,-4.96650505065918,0.575,0.55,0.8,0.23318445682525635,-0.5202079772949219,-0.6550788879394531,0.3125,0.25,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S5_bottleneck_mid,all,easy_top25,-1.4295507431030274,-4.187037467956543,-4.762432098388672,0.7,0.7,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S5_bottleneck_mid,all,hard_bottom25,0.8696788787841797,-0.6138672828674316,-0.8106575012207031,0.25,0.2,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
energy_norm_plus_bucket_strength_plus_alignment_gate,plausible_miscalibration,overstrong_2.0,S5_bottleneck_mid,all,mid_50,0.5835208892822266,-2.0439264297485353,-3.530731201171875,0.4,0.375,0.0,nan,nan,nan,0.0,0.0,PASS_POST_PLAUSIBLE_CONTROL
