variant,stage_set,action_family,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,target_bucket
bucket_strength_grid,S5_bottleneck_mid,medium,160,0.44356751441955566,-0.6792682647705078,-1.1286425590515137,0.24375,0.1875,mid_50
bucket_strength_grid,S5_bottleneck_mid,mild,120,0.07262458801269531,-0.30838546752929685,-0.4853096008300781,0.2,0.075,easy_top25
bucket_strength_grid,S5_bottleneck_mid,mild,40,0.2895700931549072,-0.18198919296264648,-0.3059368133544922,0.075,0.05,hard_bottom25
bucket_strength_grid,S5_bottleneck_mid,mild,160,0.22378959655761718,-0.29160022735595703,-0.5171346664428711,0.1875,0.075,mid_50
bucket_strength_grid,S5_bottleneck_mid,strong,120,0.7029833475748698,-0.9148500442504882,-1.396304766337077,0.225,0.175,hard_bottom25
bucket_strength_grid,S6_early_mid_final,medium,80,0.42693116664886477,-0.5245959281921386,-0.8638138771057129,0.25,0.1625,hard_bottom25
bucket_strength_grid,S6_early_mid_final,medium,160,0.45357820987701414,-1.021470069885254,-1.5013742446899414,0.28125,0.2375,mid_50
bucket_strength_grid,S6_early_mid_final,mild,120,0.05484727223714193,-0.45163917541503906,-0.7979157765706381,0.25,0.14166666666666666,easy_top25
bucket_strength_grid,S6_early_mid_final,mild,40,0.2762734413146973,-0.20273904800415038,-0.41211795806884766,0.225,0.05,hard_bottom25
bucket_strength_grid,S6_early_mid_final,mild,160,0.2480076789855957,-0.437109375,-0.6939148902893066,0.23125,0.11875,mid_50
bucket_strength_grid,S6_early_mid_final,strong,120,0.5394495487213135,-1.2291732788085938,-1.839612642923991,0.31666666666666665,0.275,hard_bottom25
energy_norm,S4_final_decoder,medium,40,0.028255939483642578,-0.4118839263916016,-0.9358673095703125,0.35,0.2,easy_top25
energy_norm,S4_final_decoder,medium,40,0.2924473762512207,-0.23813886642456056,-0.3071746826171875,0.225,0.1,hard_bottom25
energy_norm,S4_final_decoder,medium,80,0.2333131790161133,-0.5529155731201172,-0.6493539810180664,0.3125,0.2125,mid_50
energy_norm,S4_final_decoder,mild,40,0.02284374237060547,-0.40410327911376953,-0.9358673095703125,0.3,0.15,easy_top25
energy_norm,S4_final_decoder,mild,40,0.1932981491088867,-0.18515586853027344,-0.2686586380004883,0.225,0.05,hard_bottom25
energy_norm,S4_final_decoder,mild,80,0.20554981231689454,-0.30202999114990237,-0.5461559295654297,0.2375,0.1375,mid_50
energy_norm,S4_final_decoder,strong,40,0.027795982360839844,-0.4118839263916016,-0.9358673095703125,0.35,0.2,easy_top25
energy_norm,S4_final_decoder,strong,40,0.3391416072845459,-0.2802275657653809,-0.3071746826171875,0.225,0.125,hard_bottom25
energy_norm,S4_final_decoder,strong,80,0.22754387855529784,-0.5696065902709961,-0.6723051071166992,0.3125,0.225,mid_50
energy_norm,S5_bottleneck_mid,medium,40,0.14151420593261718,-0.7125797271728516,-0.9751663208007812,0.25,0.225,easy_top25
