variant,stage_set,action_name,action_strength,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,target_bucket,source_bucket,strong_reference_regression_rate
alignment_gate,S6_early_mid_final,mild_0.33,0.33,20,0.18549365997314454,-0.10192689895629883,-0.10892295837402344,0.2,0.0,hard_bottom25,all,0.0
alignment_gate,S6_early_mid_final,strong_1.25,1.25,18,0.46635299258761936,-0.5644312858581543,-0.6676025390625,0.3333333333333333,0.3333333333333333,hard_bottom25,all,0.0
alignment_gate,S4_final_decoder,medium_0.67,0.67,17,0.42086264666389017,-0.6766990661621094,-0.6931114196777344,0.35294117647058826,0.29411764705882354,hard_bottom25,hard_bottom25,0.0
alignment_gate,S4_final_decoder,mild_0.33,0.33,20,0.2741399765014648,-0.3033448219299317,-0.5813407897949219,0.25,0.15,hard_bottom25,hard_bottom25,0.0
alignment_gate,S4_final_decoder,strong_1.25,1.25,17,0.29680341832778034,-1.5813411712646483,-1.6536083221435547,0.4117647058823529,0.4117647058823529,hard_bottom25,hard_bottom25,0.0
alignment_gate,S5_bottleneck_mid,medium_0.67,0.67,20,0.7053727149963379,-0.6639351844787598,-0.8489837646484375,0.3,0.15,hard_bottom25,hard_bottom25,0.0
alignment_gate,S5_bottleneck_mid,mild_0.33,0.33,20,0.3935080528259277,-0.26449947357177733,-0.3519783020019531,0.15,0.1,hard_bottom25,hard_bottom25,0.0
alignment_gate,S5_bottleneck_mid,strong_1.25,1.25,20,0.9323455810546875,-1.5477110862731933,-1.8992118835449219,0.3,0.3,hard_bottom25,hard_bottom25,0.0
alignment_gate,S6_early_mid_final,medium_0.67,0.67,16,0.5870176553726196,-0.6212639808654785,-0.7768535614013672,0.3125,0.25,hard_bottom25,hard_bottom25,0.0
alignment_gate,S6_early_mid_final,mild_0.33,0.33,20,0.36705322265625,-0.31342382431030275,-0.5217781066894531,0.25,0.1,hard_bottom25,hard_bottom25,0.0
alignment_gate,S6_early_mid_final,strong_1.25,1.25,16,0.5054516792297363,-1.565351963043213,-1.8230056762695312,0.375,0.375,hard_bottom25,hard_bottom25,0.0
alignment_gate,S4_final_decoder,medium_0.67,0.67,32,0.3801708221435547,-0.6018787384033203,-0.829376220703125,0.25,0.1875,mid_50,all,0.0
alignment_gate,S4_final_decoder,mild_0.33,0.33,40,0.20860252380371094,-0.36757469177246094,-0.5868263244628906,0.225,0.1,mid_50,all,0.0
alignment_gate,S4_final_decoder,strong_1.25,1.25,32,0.4425382614135742,-1.2488658905029297,-1.6898975372314453,0.34375,0.3125,mid_50,all,0.0
alignment_gate,S5_bottleneck_mid,medium_0.67,0.67,36,0.4677479002210829,-0.6357955932617188,-1.1665420532226562,0.25,0.19444444444444445,mid_50,all,0.0
alignment_gate,S5_bottleneck_mid,mild_0.33,0.33,40,0.2619930267333984,-0.2765493392944336,-0.5683917999267578,0.2,0.075,mid_50,all,0.0
alignment_gate,S5_bottleneck_mid,strong_1.25,1.25,36,0.6812333001030816,-1.269857406616211,-2.187807083129883,0.2777777777777778,0.25,mid_50,all,0.0
alignment_gate,S6_early_mid_final,medium_0.67,0.67,31,0.5749779978106099,-0.5640850067138672,-0.8990135192871094,0.1935483870967742,0.1935483870967742,mid_50,all,0.0
alignment_gate,S6_early_mid_final,mild_0.33,0.33,40,0.29018821716308596,-0.4561269760131836,-0.7704849243164062,0.25,0.15,mid_50,all,0.0
alignment_gate,S6_early_mid_final,strong_1.25,1.25,31,0.6574298489478326,-1.3553581237792969,-1.9028129577636719,0.3225806451612903,0.3225806451612903,mid_50,all,0.0
alignment_gate,S4_final_decoder,medium_0.67,0.67,31,0.4011636549426663,-0.6562042236328125,-0.8072929382324219,0.3548387096774194,0.22580645161290322,mid_50,mid_50,0.0
alignment_gate,S4_final_decoder,mild_0.33,0.33,40,0.24357271194458008,-0.4212972640991211,-0.8187713623046875,0.25,0.2,mid_50,mid_50,0.0
alignment_gate,S4_final_decoder,strong_1.25,1.25,31,0.2666109146610383,-1.763540267944336,-1.9701175689697266,0.41935483870967744,0.3870967741935484,mid_50,mid_50,0.0
alignment_gate,S5_bottleneck_mid,medium_0.67,0.67,29,0.5719597915123249,-0.40036697387695314,-0.5831069946289062,0.2413793103448276,0.1724137931034483,mid_50,mid_50,0.0
alignment_gate,S5_bottleneck_mid,mild_0.33,0.33,40,0.287188720703125,-0.33742580413818357,-0.6839408874511719,0.225,0.125,mid_50,mid_50,0.0
alignment_gate,S5_bottleneck_mid,strong_1.25,1.25,29,0.7473556255472118,-1.1263526916503905,-1.3951549530029297,0.3793103448275862,0.3448275862068966,mid_50,mid_50,0.0
alignment_gate,S6_early_mid_final,medium_0.67,0.67,29,0.5282057400407463,-0.6685760498046875,-0.9427547454833984,0.3448275862068966,0.2413793103448276,mid_50,mid_50,0.0
alignment_gate,S6_early_mid_final,mild_0.33,0.33,40,0.31221418380737304,-0.5317108154296875,-0.8841209411621094,0.25,0.15,mid_50,mid_50,0.0
alignment_gate,S6_early_mid_final,strong_1.25,1.25,29,0.45444317521720096,-1.7653541564941406,-2.1253929138183594,0.3793103448275862,0.3793103448275862,mid_50,mid_50,0.0
bucket_strength_grid,S4_final_decoder,mild_0.10,0.1,20,0.019325065612792968,-0.27334346771240237,-0.3301200866699219,0.25,0.15,easy_top25,all,0.25
bucket_strength_grid,S4_final_decoder,mild_0.20,0.2,20,0.01912975311279297,-0.561549186706543,-0.6774253845214844,0.3,0.25,easy_top25,all,0.3
bucket_strength_grid,S4_final_decoder,mild_0.33,0.33,20,-0.009952545166015625,-0.9517282485961914,-1.1449470520019531,0.35,0.25,easy_top25,all,0.35
bucket_strength_grid,S5_bottleneck_mid,mild_0.10,0.1,20,0.04550018310546875,-0.17412834167480468,-0.18251419067382812,0.2,0.0,easy_top25,all,0.2
bucket_strength_grid,S5_bottleneck_mid,mild_0.20,0.2,20,0.07853336334228515,-0.35697383880615235,-0.37897491455078125,0.3,0.2,easy_top25,all,0.3
bucket_strength_grid,S5_bottleneck_mid,mild_0.33,0.33,20,0.10245800018310547,-0.6070041656494141,-0.6503829956054688,0.3,0.2,easy_top25,all,0.3
