variant,control_family,action_name,stage_set,count,mean_dpsnr,p05_dpsnr,cvar5_dpsnr,unsafe_rate,severe_rate,source_bucket,target_bucket,is_impossible_sanity_control,is_plausible_miscalibration,is_plausible_routing_error,gate_role
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S4_final_decoder,20,-0.479364013671875,-2.5791257858276366,-2.6791725158691406,0.65,0.55,mid_50,easy_top25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S4_final_decoder,20,0.322999095916748,-0.2892573356628418,-0.3526458740234375,0.3,0.15,mid_50,hard_bottom25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S5_bottleneck_mid,20,0.08723745346069336,-0.09405803680419922,-0.10194015502929688,0.25,0.0,easy_top25,hard_bottom25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S5_bottleneck_mid,20,-0.5337661743164063,-2.815545654296875,-3.2118911743164062,0.6,0.6,hard_bottom25,easy_top25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S5_bottleneck_mid,40,0.5371282577514649,-1.420224380493164,-1.8988151550292969,0.3,0.275,hard_bottom25,mid_50,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S5_bottleneck_mid,20,0.0009065628051757813,-1.4938972473144532,-1.5713920593261719,0.6,0.5,mid_50,easy_top25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S5_bottleneck_mid,20,0.39122943878173827,-0.15252103805541994,-0.2187652587890625,0.15,0.05,mid_50,hard_bottom25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S6_early_mid_final,20,0.04711494445800781,-0.14801979064941406,-0.16885757446289062,0.3,0.0,easy_top25,hard_bottom25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S6_early_mid_final,20,-1.4011823654174804,-4.213509941101075,-4.9586944580078125,0.8,0.75,hard_bottom25,easy_top25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S6_early_mid_final,40,0.2598110198974609,-1.8216787338256837,-2.4035606384277344,0.425,0.4,hard_bottom25,mid_50,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S6_early_mid_final,20,-0.31625900268554685,-2.178648567199707,-2.3433685302734375,0.65,0.55,mid_50,easy_top25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,cross_bucket_mismatch,S6_early_mid_final,20,0.3883213996887207,-0.2599355697631836,-0.4046440124511719,0.35,0.2,mid_50,hard_bottom25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,wrong_stage,S5_bottleneck_mid,20,0.05491008758544922,-0.3326662063598633,-0.7135772705078125,0.4,0.1,all,easy_top25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,wrong_stage,S5_bottleneck_mid,20,0.14422225952148438,-0.08749446868896485,-0.10381317138671875,0.1,0.0,all,hard_bottom25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,wrong_stage,S5_bottleneck_mid,40,0.22019739151000978,-0.25624942779541016,-0.5323600769042969,0.25,0.075,all,mid_50,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,wrong_stage,S5_bottleneck_mid,20,0.02434539794921875,-0.20784931182861327,-0.24245452880859375,0.35,0.1,easy_top25,easy_top25,0,0,1,safety_upper_bound
absmax_clip,plausible_routing_error,wrong_stage,S5_bottleneck_mid,20,0.24930572509765625,-0.19099912643432618,-0.3994331359863281,0.2,0.05,hard_bottom25,hard_bottom25,0,0,1,safety_upper_bound
