image_name,table_split,blend_alpha,table_A0_PSNR,recompute_A0_PSNR,table_alpha_dPSNR,recompute_alpha_dPSNR,table_vs_recompute_abs_diff
1333_0.79_1.62.png,val_regular,0.375,33.56541442871094,33.56541442871094,3.0402984619140625,3.0402984619140625,0.0
1333_0.79_1.62.png,val_regular,0.5,33.56541442871094,33.56541442871094,4.110816955566406,4.110816955566406,0.0
1334_0.64_1.51.png,val_regular,0.375,36.25647735595703,36.25647735595703,3.2224159240722656,3.2224159240722656,0.0
1334_0.64_1.51.png,val_regular,0.5,36.25647735595703,36.25647735595703,4.26580810546875,4.26580810546875,0.0
1376_0.65_1.6.png,val_regular,0.375,40.27091979980469,40.27091979980469,2.6159896850585938,2.6159896850585938,0.0
1376_0.65_1.6.png,val_regular,0.5,40.27091979980469,40.27091979980469,3.148773193359375,3.148773193359375,0.0
1390_0.57_1.23.png,val_regular,0.375,37.17292022705078,37.17292022705078,1.8274421691894531,1.8274421691894531,0.0
1390_0.57_1.23.png,val_regular,0.5,37.17292022705078,37.17292022705078,2.2550315856933594,2.2550315856933594,0.0
1397_0.94_0.79.png,val_regular,0.375,36.07341003417969,36.07341003417969,4.5736236572265625,4.5736236572265625,0.0
1397_0.94_0.79.png,val_regular,0.5,36.07341003417969,36.07341003417969,6.265838623046875,6.265838623046875,0.0
1413_0.65_1.47.png,val_regular,0.375,40.029693603515625,40.029693603515625,1.8968772888183594,1.8968772888183594,0.0
1413_0.65_1.47.png,val_regular,0.5,40.029693603515625,40.029693603515625,2.0776748657226562,2.0776748657226562,0.0
1416_0.95_1.15.png,val_regular,0.375,39.35450744628906,39.35450744628906,1.0416831970214844,1.0416831970214844,0.0
1416_0.95_1.15.png,val_regular,0.5,39.35450744628906,39.35450744628906,0.9640655517578125,0.9640655517578125,0.0
1419_0.62_1.04.png,val_regular,0.375,37.91756820678711,37.91756820678711,3.282024383544922,3.282024383544922,0.0
1419_0.62_1.04.png,val_regular,0.5,37.91756820678711,37.91756820678711,3.8870315551757812,3.8870315551757812,0.0
1432_0.91_1.29.png,val_regular,0.375,32.592288970947266,32.592288970947266,3.9103622436523438,3.9103622436523438,0.0
1432_0.91_1.29.png,val_regular,0.5,32.592288970947266,32.592288970947266,5.515922546386719,5.515922546386719,0.0
1435_0.87_0.57.png,val_regular,0.375,43.45905685424805,43.45905685424805,1.784820556640625,1.784820556640625,0.0
1435_0.87_0.57.png,val_regular,0.5,43.45905685424805,43.45905685424805,2.106647491455078,2.106647491455078,0.0
1456_0.66_1.83.png,val_regular,0.375,33.7647590637207,33.7647590637207,3.2380905151367188,3.2380905151367188,0.0
1456_0.66_1.83.png,val_regular,0.5,33.7647590637207,33.7647590637207,4.535953521728516,4.535953521728516,0.0
1461_0.59_0.54.png,val_regular,0.375,37.49658203125,37.49658203125,3.3438682556152344,3.3438682556152344,0.0
1461_0.59_0.54.png,val_regular,0.5,37.49658203125,37.49658203125,4.661701202392578,4.661701202392578,0.0
1467_0.61_1.24.png,val_regular,0.375,40.502967834472656,40.502967834472656,2.0028152465820312,2.0028152465820312,0.0
